idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-14011,django/django,1,1,1,58,0.274
2,django__django-14017,django/django,0,0,1,60,0.2378
3,django__django-14034,django/django,0,0,1,60,0.3638
4,django__django-14053,django/django,1,1,1,54,0.2922
5,django__django-14089,django/django,1,1,1,23,0.079
6,django__django-14122,django/django,0,0,1,60,0.2287
7,django__django-14140,django/django,0,0,1,60,0.2334
8,django__django-14155,django/django,1,1,1,33,0.1268
9,django__django-14170,django/django,0,0,1,60,0.284
10,django__django-14238,django/django,1,1,1,39,0.1463
11,django__django-14311,django/django,1,1,1,41,0.1546
12,django__django-14315,django/django,1,1,1,32,0.1266
13,django__django-14349,django/django,1,1,1,49,0.1869
14,django__django-14351,django/django,0,0,1,60,0.2347
15,django__django-14373,django/django,1,1,1,18,0.052
16,django__django-14376,django/django,0,0,1,14,0.0398
17,django__django-14404,django/django,1,1,1,38,0.1245
18,django__django-14434,django/django,1,1,1,59,0.2574
19,django__django-14493,django/django,1,1,1,20,0.0576
20,django__django-14500,django/django,1,1,1,55,0.2977
21,django__django-14534,django/django,1,1,1,45,0.1566
22,django__django-14539,django/django,1,1,1,45,0.225
23,django__django-14559,django/django,1,1,1,49,0.1848
24,django__django-14580,django/django,1,1,1,58,0.22
25,django__django-14608,django/django,0,0,1,60,0.2482
26,django__django-14631,django/django,0,0,1,60,0.2361
27,django__django-14672,django/django,1,1,1,33,0.0984
28,django__django-14725,django/django,0,0,1,60,0.2507
29,django__django-14752,django/django,1,1,1,26,0.1197
30,django__django-14765,django/django,1,1,1,45,0.1077
31,django__django-14771,django/django,1,1,1,55,0.1941
32,django__django-14787,django/django,1,1,1,42,0.1549
33,django__django-14792,django/django,0,0,1,60,0.2986
34,django__django-14855,django/django,1,1,1,54,0.1727
35,django__django-14915,django/django,1,1,1,50,0.1666
36,django__django-14999,django/django,1,1,1,59,0.3158
37,django__django-15022,django/django,1,1,1,43,0.1706
38,django__django-15037,django/django,1,1,1,58,0.262
39,django__django-15098,django/django,0,0,1,60,0.3302
40,django__django-15103,django/django,1,1,1,48,0.1837
41,django__django-15104,django/django,1,1,1,40,0.1256
42,django__django-15127,django/django,1,1,1,28,0.1118
43,django__django-15128,django/django,0,0,1,60,0.3186
44,django__django-15161,django/django,0,0,1,60,0.1762
45,django__django-15252,django/django,0,0,1,60,0.3162
46,django__django-15268,django/django,0,0,1,60,0.2992
47,django__django-15277,django/django,1,1,1,51,0.196
48,django__django-15278,django/django,1,1,1,55,0.2344
49,django__django-15280,django/django,0,0,1,60,0.292
50,django__django-15315,django/django,1,1,1,59,0.2262
51,django__django-15368,django/django,1,1,1,60,0.2536
52,django__django-15375,django/django,0,0,1,60,0.2183
53,django__django-15380,django/django,0,0,1,60,0.2092
54,django__django-15382,django/django,0,0,1,60,0.2383
55,django__django-15467,django/django,0,0,1,60,0.1938
