idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-14011,django/django,0,0,1,60,0.2412
2,django__django-14017,django/django,0,0,1,60,0.2749
3,django__django-14034,django/django,0,0,1,60,0.3085
4,django__django-14053,django/django,1,1,1,45,0.3896
5,django__django-14089,django/django,1,1,1,22,0.0717
6,django__django-14122,django/django,0,0,1,60,0.2055
7,django__django-14140,django/django,1,1,1,40,0.1533
8,django__django-14155,django/django,1,1,1,29,0.0944
9,django__django-14170,django/django,1,1,1,58,0.2457
10,django__django-14238,django/django,1,1,1,37,0.141
11,django__django-14311,django/django,1,1,1,41,0.1652
12,django__django-14315,django/django,0,0,1,60,0.2271
13,django__django-14349,django/django,1,1,1,48,0.1598
14,django__django-14351,django/django,0,0,1,60,0.2231
15,django__django-14373,django/django,1,1,1,25,0.0841
16,django__django-14376,django/django,0,0,1,34,0.0755
17,django__django-14404,django/django,1,1,1,47,0.1705
18,django__django-14434,django/django,1,1,1,45,0.1494
19,django__django-14493,django/django,1,1,1,56,0.1764
20,django__django-14500,django/django,0,0,1,60,0.2241
21,django__django-14534,django/django,0,0,1,60,0.2101
22,django__django-14539,django/django,1,1,1,50,0.1969
23,django__django-14559,django/django,1,1,1,49,0.1926
24,django__django-14580,django/django,0,0,1,60,0.2051
25,django__django-14608,django/django,0,0,1,60,0.2723
26,django__django-14631,django/django,0,0,1,60,0.1988
27,django__django-14672,django/django,1,1,1,33,0.1083
28,django__django-14725,django/django,0,0,1,60,0.2735
29,django__django-14752,django/django,1,1,1,37,0.1648
30,django__django-14765,django/django,0,0,1,60,0.1764
31,django__django-14771,django/django,1,1,1,40,0.1426
32,django__django-14787,django/django,1,1,1,29,0.1351
33,django__django-14792,django/django,0,0,1,60,0.2596
34,django__django-14855,django/django,0,0,1,60,0.2004
35,django__django-14915,django/django,1,1,1,41,0.1356
36,django__django-14999,django/django,1,1,1,46,0.2552
37,django__django-15022,django/django,1,1,1,46,0.1656
38,django__django-15037,django/django,1,1,1,58,0.2869
39,django__django-15098,django/django,0,0,1,60,0.2602
40,django__django-15103,django/django,1,1,1,45,0.161
41,django__django-15104,django/django,1,1,1,57,0.1713
42,django__django-15127,django/django,1,1,1,44,0.1767
43,django__django-15128,django/django,0,0,1,60,0.2608
44,django__django-15161,django/django,0,0,1,60,0.1896
45,django__django-15252,django/django,0,0,1,60,0.2248
46,django__django-15268,django/django,0,0,1,60,0.3067
47,django__django-15277,django/django,1,1,1,40,0.1318
48,django__django-15278,django/django,1,1,1,54,0.2341
49,django__django-15280,django/django,0,0,1,60,0.3299
50,django__django-15315,django/django,1,1,1,41,0.1502
51,django__django-15368,django/django,1,1,1,51,0.1635
52,django__django-15375,django/django,0,0,1,60,0.2367
53,django__django-15380,django/django,0,0,1,60,0.2425
54,django__django-15382,django/django,0,0,1,60,0.2399
55,django__django-15467,django/django,1,1,1,43,0.1811
56,django__django-15499,django/django,1,1,1,44,0.1578
57,django__django-15503,django/django,0,0,1,60,0.3144
58,django__django-15525,django/django,0,0,1,60,0.22
59,django__django-15554,django/django,0,0,1,60,0.2516
60,django__django-15561,django/django,0,0,1,60,0.2441
61,django__django-15563,django/django,0,0,1,60,0.2115
62,django__django-15569,django/django,1,1,1,38,0.1387
63,django__django-15572,django/django,1,1,1,49,0.1911
64,django__django-15629,django/django,0,0,1,60,0.2257
65,django__django-15695,django/django,0,0,1,60,0.338
66,django__django-15731,django/django,1,1,1,34,0.1368
67,django__django-15732,django/django,0,0,1,60,0.238
68,django__django-15741,django/django,1,1,1,38,0.1388
69,django__django-15814,django/django,1,1,1,42,0.141
70,django__django-15851,django/django,1,1,1,45,0.1554
71,django__django-15863,django/django,1,1,1,54,0.1868
72,django__django-15916,django/django,0,0,1,60,0.2925
73,django__django-15930,django/django,1,1,1,53,0.236
74,django__django-15957,django/django,0,0,1,60,0.2534
75,django__django-15973,django/django,0,0,1,60,0.2535
76,django__django-15987,django/django,1,1,1,56,0.2465
77,django__django-16032,django/django,0,0,1,60,0.2226
78,django__django-16082,django/django,1,1,1,53,0.1815
79,django__django-16100,django/django,0,0,1,60,0.2282
80,django__django-16116,django/django,0,0,1,60,0.2414
81,django__django-16136,django/django,1,1,1,54,0.1789
82,django__django-16139,django/django,0,0,1,60,0.2538
83,django__django-16145,django/django,1,1,1,48,0.1651
84,django__django-16255,django/django,1,1,1,31,0.1235
85,django__django-16256,django/django,0,0,1,60,0.2495
86,django__django-16263,django/django,0,0,1,60,0.238
87,django__django-16315,django/django,0,0,1,60,0.258
88,django__django-16333,django/django,1,1,1,44,0.1482
89,django__django-16429,django/django,1,1,1,31,0.1099
90,django__django-16454,django/django,0,0,1,60,0.2422
91,django__django-16485,django/django,1,1,1,27,0.1068
92,django__django-16493,django/django,1,1,1,53,0.2068
93,django__django-16502,django/django,1,1,1,50,0.2638
94,django__django-16527,django/django,1,1,1,44,0.1555
95,django__django-16560,django/django,0,0,1,60,0.3147
96,django__django-16569,django/django,1,1,1,33,0.1122
97,django__django-16595,django/django,1,1,1,51,0.1923
98,django__django-16612,django/django,1,1,1,41,0.1646
99,django__django-16631,django/django,1,1,1,60,0.2684
100,django__django-16642,django/django,1,1,1,40,0.1252
101,django__django-16661,django/django,0,0,1,60,0.247
102,django__django-16662,django/django,1,1,1,51,0.2171
103,django__django-16667,django/django,1,1,1,32,0.1126
104,django__django-16801,django/django,1,1,1,31,0.1141
105,django__django-16819,django/django,0,0,1,60,0.2445
106,django__django-16877,django/django,1,1,1,41,0.1283
107,django__django-16899,django/django,1,1,1,36,0.1216
108,django__django-16901,django/django,1,1,1,42,0.1652
109,django__django-16938,django/django,0,0,1,60,0.239
110,django__django-16950,django/django,0,0,1,60,0.3767
111,django__django-17029,django/django,1,1,1,39,0.1195
112,django__django-17084,django/django,0,0,1,60,0.266
113,django__django-17087,django/django,0,0,1,60,0.2223
115,django__django-9296,django/django,1,1,1,26,0.0862
