idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-14011,django/django,0,0,1,60,0.2513
2,django__django-14017,django/django,1,1,1,60,0.2356
3,django__django-14034,django/django,0,0,1,60,0.2638
4,django__django-14053,django/django,0,0,1,60,0.3139
5,django__django-14089,django/django,1,1,1,24,0.0979
6,django__django-14122,django/django,0,0,1,60,0.2401
7,django__django-14140,django/django,1,1,1,40,0.1603
8,django__django-14155,django/django,1,1,1,45,0.1502
9,django__django-14170,django/django,1,1,1,49,0.2384
10,django__django-14238,django/django,1,1,1,43,0.1526
11,django__django-14311,django/django,1,1,1,50,0.2354
12,django__django-14315,django/django,1,1,1,55,0.2154
13,django__django-14349,django/django,1,1,1,57,0.1935
14,django__django-14351,django/django,0,0,1,60,0.2416
15,django__django-14373,django/django,1,1,1,44,0.1577
16,django__django-14376,django/django,1,1,1,48,0.1802
17,django__django-14404,django/django,1,1,1,44,0.1541
18,django__django-14434,django/django,1,1,1,50,0.1992
19,django__django-14493,django/django,1,1,1,32,0.1164
20,django__django-14500,django/django,0,0,1,60,0.2835
21,django__django-14534,django/django,1,1,1,42,0.1285
22,django__django-14539,django/django,1,1,1,43,0.2112
23,django__django-14559,django/django,1,1,1,32,0.1189
24,django__django-14580,django/django,1,1,1,47,0.1788
25,django__django-14608,django/django,0,0,1,60,0.2409
26,django__django-14631,django/django,0,0,1,60,0.2174
27,django__django-14672,django/django,1,1,1,35,0.132
28,django__django-14725,django/django,0,0,1,60,0.2184
29,django__django-14752,django/django,1,1,1,39,0.2082
30,django__django-14765,django/django,1,1,1,43,0.1232
31,django__django-14771,django/django,1,1,1,45,0.1847
32,django__django-14787,django/django,1,1,1,33,0.1399
33,django__django-14792,django/django,0,0,1,60,0.2731
34,django__django-14855,django/django,0,0,1,60,0.2831
35,django__django-14915,django/django,1,1,1,30,0.1068
36,django__django-14999,django/django,0,0,1,60,0.2294
37,django__django-15022,django/django,1,1,1,47,0.185
38,django__django-15037,django/django,0,0,1,60,0.2637
39,django__django-15098,django/django,0,0,1,60,0.2422
40,django__django-15103,django/django,1,1,1,39,0.1403
41,django__django-15104,django/django,1,1,1,43,0.1492
42,django__django-15127,django/django,1,1,1,36,0.1558
43,django__django-15128,django/django,0,0,1,60,0.2976
44,django__django-15161,django/django,0,0,1,60,0.1934
45,django__django-15252,django/django,0,0,1,60,0.241
46,django__django-15268,django/django,0,0,1,60,0.2563
47,django__django-15277,django/django,1,1,1,52,0.1698
48,django__django-15278,django/django,0,0,1,60,0.2035
49,django__django-15280,django/django,0,0,1,60,0.2934
50,django__django-15315,django/django,0,0,1,60,0.1904
51,django__django-15368,django/django,0,0,1,60,0.2093
52,django__django-15375,django/django,0,0,1,60,0.2433
53,django__django-15380,django/django,1,1,1,41,0.1579
54,django__django-15382,django/django,0,0,1,60,0.2177
55,django__django-15467,django/django,1,1,1,50,0.1454
56,django__django-15499,django/django,0,0,1,60,0.2218
57,django__django-15503,django/django,0,0,1,60,0.2968
58,django__django-15525,django/django,0,0,1,60,0.2242
59,django__django-15554,django/django,0,0,1,60,0.264
60,django__django-15561,django/django,0,0,1,60,0.2152
61,django__django-15563,django/django,0,0,1,60,0.3334
62,django__django-15569,django/django,0,0,1,60,0.2081
63,django__django-15572,django/django,1,1,1,34,0.1112
64,django__django-15629,django/django,0,0,1,60,0.1947
65,django__django-15695,django/django,0,0,1,60,0.3523
66,django__django-15731,django/django,1,1,1,31,0.0887
67,django__django-15732,django/django,0,0,1,60,0.1732
68,django__django-15741,django/django,1,1,1,44,0.1568
69,django__django-15814,django/django,1,1,1,40,0.1401
70,django__django-15851,django/django,0,0,1,60,0.2471
71,django__django-15863,django/django,1,1,1,41,0.12
72,django__django-15916,django/django,1,1,1,49,0.2571
73,django__django-15930,django/django,0,0,1,60,0.2546
74,django__django-15957,django/django,0,0,1,60,0.251
75,django__django-15973,django/django,0,0,1,60,0.2532
76,django__django-15987,django/django,1,1,1,31,0.1386
77,django__django-16032,django/django,0,0,1,60,0.2882
78,django__django-16082,django/django,1,1,1,54,0.2333
79,django__django-16100,django/django,0,0,1,60,0.2842
80,django__django-16116,django/django,1,1,1,52,0.1837
81,django__django-16136,django/django,1,1,1,51,0.2372
82,django__django-16139,django/django,0,0,1,60,0.2198
83,django__django-16145,django/django,1,1,1,49,0.2005
84,django__django-16255,django/django,1,1,1,36,0.0992
85,django__django-16256,django/django,0,0,1,60,0.2634
86,django__django-16263,django/django,0,0,1,60,0.2451
87,django__django-16315,django/django,0,0,1,60,0.2086
88,django__django-16333,django/django,0,0,1,60,0.2831
89,django__django-16429,django/django,1,1,1,28,0.1108
90,django__django-16454,django/django,0,0,1,60,0.2675
91,django__django-16485,django/django,1,1,1,41,0.1407
92,django__django-16493,django/django,1,1,1,42,0.1716
93,django__django-16502,django/django,0,0,1,60,0.3039
94,django__django-16527,django/django,1,1,1,30,0.1029
95,django__django-16560,django/django,0,0,1,60,0.2832
96,django__django-16569,django/django,1,1,1,29,0.0912
97,django__django-16595,django/django,1,1,1,44,0.191
98,django__django-16612,django/django,0,0,1,60,0.2276
99,django__django-16631,django/django,0,0,1,60,0.2399
100,django__django-16642,django/django,1,1,1,27,0.0902
101,django__django-16661,django/django,0,0,1,60,0.2868
102,django__django-16662,django/django,0,0,1,60,0.2399
103,django__django-16667,django/django,1,1,1,31,0.117
104,django__django-16801,django/django,1,1,1,44,0.2136
105,django__django-16819,django/django,0,0,1,60,0.3109
106,django__django-16877,django/django,1,1,1,59,0.1945
107,django__django-16899,django/django,1,1,1,57,0.2199
108,django__django-16901,django/django,0,0,1,60,0.2745
109,django__django-16938,django/django,0,0,1,60,0.2433
110,django__django-16950,django/django,0,0,1,60,0.2677
111,django__django-17029,django/django,1,1,1,43,0.1301
112,django__django-17084,django/django,0,0,1,60,0.2207
113,django__django-17087,django/django,1,1,1,44,0.1471
115,django__django-9296,django/django,1,1,1,23,0.0954
