idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-14011,django/django,1,1,1,56,0.2467
2,django__django-14017,django/django,0,0,1,60,0.2366
3,django__django-14034,django/django,1,1,1,52,0.2846
4,django__django-14053,django/django,1,1,1,56,0.2458
5,django__django-14089,django/django,1,1,1,25,0.084
6,django__django-14122,django/django,1,1,1,58,0.2795
7,django__django-14140,django/django,1,1,1,38,0.1639
8,django__django-14155,django/django,1,1,1,46,0.1865
9,django__django-14170,django/django,1,1,1,57,0.2719
10,django__django-14238,django/django,1,1,1,49,0.2383
11,django__django-14311,django/django,1,1,1,37,0.1299
12,django__django-14315,django/django,1,1,1,43,0.1717
13,django__django-14349,django/django,1,1,1,52,0.1781
14,django__django-14351,django/django,0,0,1,60,0.2538
15,django__django-14373,django/django,1,1,1,23,0.0761
16,django__django-14376,django/django,0,0,1,34,0.1058
17,django__django-14404,django/django,1,1,1,47,0.1896
18,django__django-14434,django/django,1,1,1,51,0.1747
19,django__django-14493,django/django,1,1,1,52,0.1844
20,django__django-14500,django/django,0,0,1,60,0.2736
21,django__django-14534,django/django,0,0,1,60,0.2339
22,django__django-14539,django/django,1,1,1,44,0.2164
23,django__django-14559,django/django,1,1,1,28,0.1025
24,django__django-14580,django/django,1,1,1,50,0.1675
25,django__django-14608,django/django,1,1,1,49,0.2042
26,django__django-14631,django/django,0,0,1,60,0.2092
27,django__django-14672,django/django,1,1,1,42,0.1298
28,django__django-14725,django/django,0,0,1,60,0.3169
29,django__django-14752,django/django,1,1,1,37,0.1628
30,django__django-14765,django/django,1,1,1,42,0.1177
31,django__django-14771,django/django,1,1,1,50,0.1834
32,django__django-14787,django/django,1,1,1,42,0.1606
33,django__django-14792,django/django,0,0,1,60,0.272
34,django__django-14855,django/django,1,1,1,59,0.28
35,django__django-14915,django/django,1,1,1,42,0.1713
36,django__django-14999,django/django,0,0,1,60,0.258
37,django__django-15022,django/django,1,1,1,58,0.2459
38,django__django-15037,django/django,0,0,1,60,0.2865
39,django__django-15098,django/django,0,0,1,60,0.2098
40,django__django-15103,django/django,1,1,1,48,0.1485
41,django__django-15104,django/django,1,1,1,30,0.0929
42,django__django-15127,django/django,1,1,1,45,0.1585
43,django__django-15128,django/django,0,0,1,60,0.3005
44,django__django-15161,django/django,0,0,1,60,0.1926
45,django__django-15252,django/django,0,0,1,60,0.263
46,django__django-15268,django/django,0,0,1,60,0.2528
47,django__django-15277,django/django,1,1,1,33,0.1103
48,django__django-15278,django/django,1,1,1,52,0.2121
49,django__django-15280,django/django,0,0,1,60,0.2824
50,django__django-15315,django/django,1,1,1,59,0.1904
51,django__django-15368,django/django,1,1,1,40,0.147
52,django__django-15375,django/django,1,1,1,58,0.2986
53,django__django-15380,django/django,0,0,1,60,0.2503
54,django__django-15382,django/django,0,0,1,60,0.215
55,django__django-15467,django/django,0,0,1,60,0.2777
56,django__django-15499,django/django,0,0,1,60,0.225
57,django__django-15503,django/django,0,0,1,60,0.2898
58,django__django-15525,django/django,0,0,1,60,0.2818
59,django__django-15554,django/django,0,0,1,60,0.2461
60,django__django-15561,django/django,0,0,1,60,0.2066
61,django__django-15563,django/django,0,0,1,60,0.2961
62,django__django-15569,django/django,0,0,1,60,0.2042
63,django__django-15572,django/django,1,1,1,41,0.1415
64,django__django-15629,django/django,1,1,1,60,0.2515
65,django__django-15695,django/django,0,0,1,60,0.2439
66,django__django-15731,django/django,1,1,1,36,0.1087
67,django__django-15732,django/django,0,0,1,60,0.2285
68,django__django-15741,django/django,1,1,1,49,0.1666
69,django__django-15814,django/django,0,0,1,60,0.2243
70,django__django-15851,django/django,1,1,1,31,0.1157
71,django__django-15863,django/django,1,1,1,39,0.1259
72,django__django-15916,django/django,1,1,1,48,0.2434
73,django__django-15930,django/django,1,1,1,52,0.2609
74,django__django-15957,django/django,0,0,1,60,0.2664
75,django__django-15973,django/django,0,0,1,60,0.1644
76,django__django-15987,django/django,1,1,1,46,0.1728
77,django__django-16032,django/django,0,0,1,60,0.2916
78,django__django-16082,django/django,1,1,1,39,0.1448
79,django__django-16100,django/django,0,0,1,60,0.2327
80,django__django-16116,django/django,0,0,1,60,0.2288
81,django__django-16136,django/django,0,0,1,60,0.2488
82,django__django-16139,django/django,1,1,1,51,0.2054
83,django__django-16145,django/django,1,1,1,47,0.1711
84,django__django-16255,django/django,1,1,1,26,0.0861
85,django__django-16256,django/django,0,0,1,60,0.2863
86,django__django-16263,django/django,0,0,1,60,0.2197
87,django__django-16315,django/django,0,0,1,60,0.2347
88,django__django-16333,django/django,0,0,1,60,0.2254
89,django__django-16429,django/django,1,1,1,32,0.1121
90,django__django-16454,django/django,1,1,1,55,0.2344
91,django__django-16485,django/django,1,1,1,37,0.134
92,django__django-16493,django/django,1,1,1,46,0.2019
93,django__django-16502,django/django,0,0,1,60,0.2623
94,django__django-16527,django/django,1,1,1,39,0.1192
95,django__django-16560,django/django,1,1,1,58,0.323
96,django__django-16569,django/django,1,1,1,43,0.1098
97,django__django-16595,django/django,1,1,1,43,0.1711
98,django__django-16612,django/django,0,0,1,60,0.2336
99,django__django-16631,django/django,0,0,1,60,0.2479
100,django__django-16642,django/django,1,1,1,26,0.0931
101,django__django-16661,django/django,0,0,1,60,0.2618
102,django__django-16662,django/django,1,1,1,48,0.2121
103,django__django-16667,django/django,1,1,1,31,0.1007
104,django__django-16801,django/django,1,1,1,36,0.1918
105,django__django-16819,django/django,0,0,1,60,0.2757
106,django__django-16877,django/django,0,0,1,60,0.1739
107,django__django-16899,django/django,1,1,1,44,0.1657
108,django__django-16901,django/django,1,1,1,50,0.2211
109,django__django-16938,django/django,0,0,1,60,0.2695
110,django__django-16950,django/django,0,0,1,60,0.3454
111,django__django-17029,django/django,1,1,1,36,0.1183
112,django__django-17084,django/django,0,0,1,60,0.2585
113,django__django-17087,django/django,1,1,1,59,0.2286
115,django__django-9296,django/django,1,1,1,24,0.0935
