idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-14011,django/django,0,0,1,60,0.2099
2,django__django-14017,django/django,0,0,1,60,0.2766
3,django__django-14034,django/django,0,0,1,60,0.3453
4,django__django-14053,django/django,1,1,1,37,0.1831
5,django__django-14089,django/django,1,1,1,25,0.1212
6,django__django-14122,django/django,0,0,1,60,0.2455
7,django__django-14140,django/django,1,1,1,36,0.1385
8,django__django-14155,django/django,1,1,1,47,0.1889
9,django__django-14170,django/django,0,0,1,60,0.2139
10,django__django-14238,django/django,1,1,1,41,0.1228
11,django__django-14311,django/django,0,0,1,60,0.2372
12,django__django-14315,django/django,1,1,1,38,0.1636
13,django__django-14349,django/django,1,1,1,48,0.1564
14,django__django-14351,django/django,0,0,1,60,0.2506
15,django__django-14373,django/django,1,1,1,29,0.085
16,django__django-14376,django/django,0,0,1,19,0.0477
17,django__django-14404,django/django,1,1,1,42,0.1615
18,django__django-14434,django/django,1,1,1,45,0.162
19,django__django-14493,django/django,0,0,1,60,0.2167
20,django__django-14500,django/django,0,0,1,60,0.1986
21,django__django-14534,django/django,0,0,1,60,0.2159
22,django__django-14539,django/django,1,1,1,42,0.3021
23,django__django-14559,django/django,1,1,1,53,0.2072
24,django__django-14580,django/django,1,1,1,55,0.2334
25,django__django-14608,django/django,1,1,1,56,0.2437
26,django__django-14631,django/django,0,0,1,60,0.2235
27,django__django-14672,django/django,1,1,1,37,0.1439
28,django__django-14725,django/django,0,0,1,60,0.3028
29,django__django-14752,django/django,1,1,1,36,0.1519
30,django__django-14765,django/django,1,1,1,36,0.098
31,django__django-14771,django/django,1,1,1,46,0.1759
32,django__django-14787,django/django,1,1,1,33,0.1062
33,django__django-14792,django/django,0,0,1,60,0.2405
34,django__django-14855,django/django,1,1,1,58,0.2515
35,django__django-14915,django/django,1,1,1,40,0.1184
36,django__django-14999,django/django,1,1,1,60,0.3359
37,django__django-15022,django/django,0,0,1,60,0.3149
38,django__django-15037,django/django,0,0,1,60,0.2858
39,django__django-15098,django/django,0,0,1,60,0.2242
40,django__django-15103,django/django,1,1,1,36,0.1103
41,django__django-15104,django/django,1,1,1,29,0.0893
42,django__django-15127,django/django,1,1,1,39,0.1262
43,django__django-15128,django/django,0,0,1,60,0.2596
44,django__django-15161,django/django,0,0,1,60,0.1701
45,django__django-15252,django/django,0,0,1,60,0.2565
46,django__django-15268,django/django,0,0,1,60,0.253
47,django__django-15277,django/django,1,1,1,34,0.1079
