idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-14011,django/django,1,1,1,60,0.1868
2,django__django-14017,django/django,1,1,1,84,0.4162
3,django__django-14034,django/django,1,1,1,53,0.2781
4,django__django-14053,django/django,1,1,1,44,0.2622
5,django__django-14089,django/django,1,1,1,19,0.0724
6,django__django-14122,django/django,1,1,1,78,0.347
7,django__django-14140,django/django,1,1,1,65,0.283
8,django__django-14155,django/django,1,1,1,37,0.0982
9,django__django-14170,django/django,1,1,1,58,0.269
10,django__django-14238,django/django,1,1,1,37,0.1304
11,django__django-14311,django/django,1,1,1,36,0.1525
12,django__django-14315,django/django,1,1,1,31,0.1337
13,django__django-14349,django/django,1,1,1,56,0.2019
14,django__django-14351,django/django,1,1,1,131,0.7991
15,django__django-14373,django/django,1,1,1,32,0.0899
16,django__django-14376,django/django,0,0,1,36,0.092
17,django__django-14404,django/django,1,1,1,46,0.1385
18,django__django-14434,django/django,1,1,1,54,0.2144
19,django__django-14493,django/django,1,1,1,40,0.1372
20,django__django-14500,django/django,1,1,1,79,0.2848
21,django__django-14534,django/django,0,0,1,94,0.4206
22,django__django-14539,django/django,1,1,1,43,0.2261
23,django__django-14559,django/django,1,1,1,34,0.1131
24,django__django-14580,django/django,1,1,1,63,0.266
25,django__django-14608,django/django,1,1,1,47,0.1863
26,django__django-14631,django/django,1,1,1,74,0.3325
27,django__django-14672,django/django,1,1,1,35,0.1138
28,django__django-14725,django/django,1,1,1,60,0.3388
29,django__django-14752,django/django,1,1,1,33,0.1462
30,django__django-14765,django/django,1,1,1,37,0.1094
31,django__django-14771,django/django,1,1,1,76,0.3346
32,django__django-14787,django/django,1,1,1,32,0.1293
33,django__django-14792,django/django,1,1,1,89,0.4929
34,django__django-14855,django/django,1,1,1,56,0.2005
35,django__django-14915,django/django,1,1,1,33,0.112
36,django__django-14999,django/django,1,1,1,61,0.3421
37,django__django-15022,django/django,1,1,1,106,0.5806
38,django__django-15037,django/django,0,0,1,72,0.3798
39,django__django-15098,django/django,1,1,1,125,0.7743
40,django__django-15103,django/django,1,1,1,44,0.1478
41,django__django-15104,django/django,1,1,1,51,0.1722
42,django__django-15127,django/django,1,1,1,36,0.1179
43,django__django-15128,django/django,1,1,1,86,0.6426
44,django__django-15161,django/django,1,1,1,103,0.3878
45,django__django-15252,django/django,1,1,1,174,1.4438
46,django__django-15268,django/django,1,1,1,78,0.4321
47,django__django-15277,django/django,1,1,1,32,0.1074
48,django__django-15278,django/django,1,1,1,53,0.2411
49,django__django-15280,django/django,1,1,1,129,1.2615
50,django__django-15315,django/django,1,1,1,61,0.2256
51,django__django-15368,django/django,1,1,1,64,0.2509
52,django__django-15375,django/django,1,1,1,104,0.6035
53,django__django-15380,django/django,1,1,1,72,0.2713
54,django__django-15382,django/django,1,1,1,76,0.3346
55,django__django-15467,django/django,1,1,1,58,0.2483
56,django__django-15499,django/django,1,1,1,80,0.3323
57,django__django-15503,django/django,1,1,1,86,0.486
58,django__django-15525,django/django,1,1,1,76,0.3854
59,django__django-15554,django/django,0,0,1,148,1.0651
60,django__django-15561,django/django,1,1,1,86,0.3538
61,django__django-15563,django/django,0,0,1,53,0.2871
62,django__django-15569,django/django,1,1,1,53,0.1787
63,django__django-15572,django/django,1,1,1,47,0.162
64,django__django-15629,django/django,1,1,1,65,0.2649
65,django__django-15695,django/django,1,1,1,69,0.3422
66,django__django-15731,django/django,1,1,1,29,0.0945
67,django__django-15732,django/django,1,1,1,53,0.2008
68,django__django-15741,django/django,1,1,1,41,0.1389
69,django__django-15814,django/django,1,1,1,43,0.1918
70,django__django-15851,django/django,0,0,1,62,0.2791
71,django__django-15863,django/django,1,1,1,32,0.09
72,django__django-15916,django/django,1,1,1,56,0.253
73,django__django-15930,django/django,1,1,1,72,0.3293
74,django__django-15957,django/django,1,1,1,86,0.5005
75,django__django-15973,django/django,1,1,1,117,0.5244
76,django__django-15987,django/django,1,1,1,57,0.2182
77,django__django-16032,django/django,1,1,1,80,0.4146
78,django__django-16082,django/django,1,1,1,42,0.1396
79,django__django-16100,django/django,1,1,1,107,0.6431
80,django__django-16116,django/django,0,0,1,142,0.7647
81,django__django-16136,django/django,1,1,1,48,0.2084
82,django__django-16139,django/django,1,1,1,43,0.1427
83,django__django-16145,django/django,1,1,1,59,0.2226
84,django__django-16255,django/django,1,1,1,27,0.0942
85,django__django-16256,django/django,0,0,1,109,0.6028
86,django__django-16263,django/django,0,0,1,134,0.8142
87,django__django-16315,django/django,1,1,1,79,0.3148
88,django__django-16333,django/django,1,1,1,61,0.2902
89,django__django-16429,django/django,1,1,1,33,0.1076
90,django__django-16454,django/django,1,1,1,86,0.3569
91,django__django-16485,django/django,1,1,1,36,0.1276
92,django__django-16493,django/django,1,1,1,33,0.12
93,django__django-16502,django/django,1,1,1,68,0.3319
94,django__django-16527,django/django,1,1,1,44,0.1465
95,django__django-16560,django/django,1,1,1,78,0.3701
96,django__django-16569,django/django,1,1,1,28,0.0824
97,django__django-16595,django/django,1,1,1,49,0.1912
98,django__django-16612,django/django,1,1,1,49,0.191
99,django__django-16631,django/django,1,1,1,53,0.2272
100,django__django-16642,django/django,1,1,1,31,0.1397
101,django__django-16661,django/django,1,1,1,80,0.4707
102,django__django-16662,django/django,1,1,1,61,0.282
103,django__django-16667,django/django,1,1,1,51,0.1774
104,django__django-16801,django/django,1,1,1,35,0.1679
105,django__django-16819,django/django,1,1,1,95,0.4001
106,django__django-16877,django/django,1,1,1,61,0.1957
107,django__django-16899,django/django,1,1,1,33,0.1372
108,django__django-16901,django/django,1,1,1,58,0.2264
109,django__django-16938,django/django,1,1,1,93,0.4942
110,django__django-16950,django/django,1,1,1,95,0.5712
