idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-14011,django/django,1,1,1,71,0.2721
2,django__django-14017,django/django,1,1,1,69,0.3304
3,django__django-14034,django/django,1,1,1,53,0.2342
4,django__django-14053,django/django,1,1,1,87,0.5366
5,django__django-14089,django/django,1,1,1,25,0.0956
6,django__django-14122,django/django,1,1,1,87,0.4343
7,django__django-14140,django/django,1,1,1,37,0.1851
8,django__django-14155,django/django,1,1,1,53,0.2101
9,django__django-14170,django/django,1,1,1,56,0.2219
10,django__django-14238,django/django,1,1,1,48,0.1895
11,django__django-14311,django/django,1,1,1,67,0.2936
12,django__django-14315,django/django,1,1,1,51,0.1956
13,django__django-14349,django/django,1,1,1,42,0.1476
14,django__django-14351,django/django,1,1,1,102,0.5323
15,django__django-14373,django/django,1,1,1,18,0.0474
16,django__django-14376,django/django,1,1,1,25,0.07
17,django__django-14404,django/django,1,1,1,53,0.1802
18,django__django-14434,django/django,1,1,1,56,0.2185
19,django__django-14493,django/django,1,1,1,37,0.1554
20,django__django-14500,django/django,1,1,1,93,0.4117
21,django__django-14534,django/django,1,1,1,76,0.4495
22,django__django-14539,django/django,1,1,1,58,0.3956
23,django__django-14559,django/django,1,1,1,47,0.2007
24,django__django-14580,django/django,1,1,1,68,0.2732
25,django__django-14608,django/django,1,1,1,86,0.4096
26,django__django-14631,django/django,1,1,1,86,0.3886
27,django__django-14672,django/django,1,1,1,36,0.1278
28,django__django-14725,django/django,1,1,1,74,0.3492
29,django__django-14752,django/django,1,1,1,27,0.1225
30,django__django-14765,django/django,1,1,1,43,0.1095
31,django__django-14771,django/django,1,1,1,55,0.2179
32,django__django-14787,django/django,1,1,1,39,0.1538
33,django__django-14792,django/django,1,1,1,65,0.3018
34,django__django-14855,django/django,1,1,1,87,0.3235
35,django__django-14915,django/django,1,1,1,41,0.1441
36,django__django-14999,django/django,1,1,1,114,0.5995
37,django__django-15022,django/django,1,1,1,88,0.5529
38,django__django-15037,django/django,1,1,1,59,0.3412
39,django__django-15098,django/django,1,1,1,80,0.383
40,django__django-15103,django/django,1,1,1,43,0.1346
41,django__django-15104,django/django,1,1,1,24,0.0832
42,django__django-15127,django/django,1,1,1,46,0.202
43,django__django-15128,django/django,0,0,1,86,0.4035
44,django__django-15161,django/django,1,1,1,89,0.3465
45,django__django-15252,django/django,1,1,1,82,0.5956
46,django__django-15268,django/django,1,1,1,60,0.3319
47,django__django-15277,django/django,1,1,1,38,0.1158
48,django__django-15278,django/django,1,1,1,49,0.1569
49,django__django-15280,django/django,1,1,1,138,1.4531
50,django__django-15315,django/django,1,1,1,69,0.2196
51,django__django-15368,django/django,1,1,1,54,0.2181
52,django__django-15375,django/django,1,1,1,97,0.4019
53,django__django-15380,django/django,1,1,1,51,0.1869
54,django__django-15382,django/django,1,1,1,84,0.4209
55,django__django-15467,django/django,1,1,1,82,0.4114
56,django__django-15499,django/django,1,1,1,62,0.2455
57,django__django-15503,django/django,1,1,1,97,0.7437
58,django__django-15525,django/django,1,1,1,90,0.4757
59,django__django-15554,django/django,1,1,1,106,0.6082
60,django__django-15561,django/django,1,1,1,71,0.3112
61,django__django-15563,django/django,1,1,1,74,0.4533
62,django__django-15569,django/django,1,1,1,46,0.1493
63,django__django-15572,django/django,1,1,1,48,0.1799
64,django__django-15629,django/django,1,1,1,86,0.3688
65,django__django-15695,django/django,0,0,1,32,0.1129
66,django__django-15731,django/django,1,1,1,31,0.0888
67,django__django-15732,django/django,1,1,1,80,0.3287
68,django__django-15741,django/django,1,1,1,50,0.1556
69,django__django-15814,django/django,1,1,1,34,0.0901
70,django__django-15851,django/django,1,1,1,30,0.11
71,django__django-15863,django/django,1,1,1,36,0.1154
72,django__django-15916,django/django,1,1,1,62,0.2464
73,django__django-15930,django/django,1,1,1,75,0.3848
74,django__django-15957,django/django,1,1,1,109,0.7307
75,django__django-15973,django/django,1,1,1,73,0.2804
76,django__django-15987,django/django,1,1,1,44,0.1869
77,django__django-16032,django/django,1,1,1,126,0.5838
78,django__django-16082,django/django,1,1,1,65,0.2378
79,django__django-16100,django/django,1,1,1,85,0.3645
80,django__django-16116,django/django,1,1,1,93,0.4015
81,django__django-16136,django/django,1,1,1,59,0.2932
82,django__django-16139,django/django,1,1,1,74,0.3241
83,django__django-16145,django/django,1,1,1,48,0.198
84,django__django-16255,django/django,1,1,1,34,0.1038
85,django__django-16256,django/django,1,1,1,85,0.4152
86,django__django-16263,django/django,0,0,1,142,1.0301
87,django__django-16315,django/django,1,1,1,82,0.3909
88,django__django-16333,django/django,1,1,1,50,0.2038
89,django__django-16429,django/django,1,1,1,40,0.1365
90,django__django-16454,django/django,1,1,1,75,0.2967
91,django__django-16485,django/django,1,1,1,52,0.2067
92,django__django-16493,django/django,1,1,1,42,0.1614
93,django__django-16502,django/django,0,0,1,80,0.4556
94,django__django-16527,django/django,1,1,1,50,0.1724
95,django__django-16560,django/django,1,1,1,84,0.4704
96,django__django-16569,django/django,1,1,1,30,0.0858
97,django__django-16595,django/django,1,1,1,52,0.1906
98,django__django-16612,django/django,1,1,1,66,0.2834
99,django__django-16631,django/django,1,1,1,46,0.2155
100,django__django-16642,django/django,1,1,1,27,0.105
101,django__django-16661,django/django,1,1,1,62,0.4249
102,django__django-16662,django/django,1,1,1,46,0.1756
103,django__django-16667,django/django,1,1,1,32,0.1008
104,django__django-16801,django/django,1,1,1,48,0.2065
105,django__django-16819,django/django,1,1,1,94,0.3523
106,django__django-16877,django/django,1,1,1,59,0.2017
107,django__django-16899,django/django,1,1,1,51,0.1794
108,django__django-16901,django/django,1,1,1,74,0.3483
109,django__django-16938,django/django,0,0,1,97,0.5
110,django__django-16950,django/django,1,1,1,74,0.3586
111,django__django-17029,django/django,1,1,1,40,0.1109
112,django__django-17084,django/django,1,1,1,65,0.3217
113,django__django-17087,django/django,1,1,1,50,0.1504
115,django__django-9296,django/django,1,1,1,25,0.0733
