idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-14011,django/django,0,0,1,60,0.2878
2,django__django-14017,django/django,0,0,1,60,0.2096
3,django__django-14034,django/django,0,0,1,60,0.3271
4,django__django-14053,django/django,0,0,1,60,0.2687
5,django__django-14089,django/django,1,1,1,25,0.092
6,django__django-14122,django/django,0,0,1,58,0.2968
7,django__django-14140,django/django,1,1,1,40,0.1489
8,django__django-14155,django/django,1,1,1,24,0.0718
9,django__django-14170,django/django,0,0,1,60,0.2523
10,django__django-14238,django/django,1,1,1,41,0.178
11,django__django-14311,django/django,1,1,1,36,0.1519
12,django__django-14315,django/django,1,1,1,47,0.1838
13,django__django-14349,django/django,1,1,1,49,0.1818
14,django__django-14351,django/django,0,0,1,60,0.2243
15,django__django-14373,django/django,1,1,1,26,0.0804
16,django__django-14376,django/django,0,0,1,24,0.0585
17,django__django-14404,django/django,0,0,1,60,0.2197
18,django__django-14434,django/django,1,1,1,50,0.1851
19,django__django-14493,django/django,1,1,1,40,0.1443
20,django__django-14500,django/django,0,0,1,60,0.2378
21,django__django-14534,django/django,0,0,1,60,0.2267
22,django__django-14539,django/django,1,1,1,40,0.1601
23,django__django-14559,django/django,1,1,1,45,0.1513
24,django__django-14580,django/django,1,1,1,47,0.1751
25,django__django-14608,django/django,1,1,1,60,0.2374
26,django__django-14631,django/django,0,0,1,60,0.2315
27,django__django-14672,django/django,1,1,1,42,0.1443
28,django__django-14725,django/django,0,0,1,60,0.2578
29,django__django-14752,django/django,1,1,1,37,0.1566
30,django__django-14765,django/django,0,0,1,60,0.1611
31,django__django-14771,django/django,1,1,1,38,0.1436
32,django__django-14787,django/django,1,1,1,29,0.114
33,django__django-14792,django/django,0,0,1,60,0.3121
34,django__django-14855,django/django,0,0,1,60,0.2021
35,django__django-14915,django/django,1,1,1,49,0.1802
36,django__django-14999,django/django,0,0,1,60,0.2416
37,django__django-15022,django/django,0,0,1,60,0.2685
38,django__django-15037,django/django,0,0,1,60,0.2752
39,django__django-15098,django/django,0,0,1,60,0.2283
40,django__django-15103,django/django,1,1,1,52,0.1966
41,django__django-15104,django/django,1,1,1,46,0.1402
42,django__django-15127,django/django,1,1,1,32,0.1255
43,django__django-15128,django/django,0,0,1,60,0.326
44,django__django-15161,django/django,0,0,1,60,0.2057
45,django__django-15252,django/django,0,0,1,60,0.2505
46,django__django-15268,django/django,0,0,1,60,0.1868
47,django__django-15277,django/django,1,1,1,48,0.1489
48,django__django-15278,django/django,0,0,1,60,0.2646
49,django__django-15280,django/django,0,0,1,60,0.3268
50,django__django-15315,django/django,0,0,1,60,0.2493
51,django__django-15368,django/django,0,0,1,60,0.1941
52,django__django-15375,django/django,0,0,1,60,0.3054
53,django__django-15380,django/django,0,0,1,60,0.2205
54,django__django-15382,django/django,0,0,1,60,0.215
55,django__django-15467,django/django,1,1,1,37,0.169
56,django__django-15499,django/django,0,0,1,26,0.1209
57,django__django-15503,django/django,0,0,1,60,0.2889
58,django__django-15525,django/django,0,0,1,60,0.2639
59,django__django-15554,django/django,0,0,1,60,0.2002
60,django__django-15561,django/django,0,0,1,60,0.2215
61,django__django-15563,django/django,0,0,1,60,0.2555
62,django__django-15569,django/django,0,0,1,60,0.2102
63,django__django-15572,django/django,1,1,1,45,0.2147
64,django__django-15629,django/django,0,0,1,60,0.1991
65,django__django-15695,django/django,1,1,1,59,0.2197
66,django__django-15731,django/django,1,1,1,51,0.158
67,django__django-15732,django/django,1,1,1,50,0.214
68,django__django-15741,django/django,1,1,1,44,0.1464
69,django__django-15814,django/django,0,0,1,60,0.2114
70,django__django-15851,django/django,1,1,1,45,0.1902
71,django__django-15863,django/django,1,1,1,41,0.1423
