idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-14011,django/django,0,0,1,60,0.2461
2,django__django-14017,django/django,0,0,1,60,0.2697
3,django__django-14034,django/django,0,0,1,60,0.4944
4,django__django-14053,django/django,0,0,1,60,0.2575
5,django__django-14089,django/django,1,1,1,20,0.0823
6,django__django-14122,django/django,0,0,1,60,0.2393
7,django__django-14140,django/django,1,1,1,56,0.2395
8,django__django-14155,django/django,0,0,1,60,0.2262
9,django__django-14170,django/django,1,1,1,54,0.2348
10,django__django-14238,django/django,1,1,1,41,0.1777
11,django__django-14311,django/django,1,1,1,51,0.203
12,django__django-14315,django/django,1,1,1,43,0.1844
13,django__django-14349,django/django,1,1,1,52,0.2041
14,django__django-14351,django/django,0,0,1,60,0.2956
15,django__django-14373,django/django,1,1,1,23,0.0656
16,django__django-14376,django/django,0,0,1,29,0.0753
17,django__django-14404,django/django,1,1,1,52,0.1589
18,django__django-14434,django/django,1,1,1,41,0.165
19,django__django-14493,django/django,1,1,1,42,0.1249
20,django__django-14500,django/django,0,0,1,60,0.247
21,django__django-14534,django/django,0,0,1,60,0.2527
22,django__django-14539,django/django,1,1,1,31,0.127
23,django__django-14559,django/django,1,1,1,38,0.178
24,django__django-14580,django/django,0,0,1,60,0.2236
25,django__django-14608,django/django,0,0,1,60,0.2322
26,django__django-14631,django/django,0,0,1,60,0.2596
27,django__django-14672,django/django,1,1,1,59,0.2338
28,django__django-14725,django/django,0,0,1,60,0.2697
29,django__django-14752,django/django,1,1,1,46,0.188
30,django__django-14765,django/django,1,1,1,36,0.1275
31,django__django-14771,django/django,0,0,1,60,0.2285
32,django__django-14787,django/django,1,1,1,30,0.112
33,django__django-14792,django/django,0,0,1,60,0.2934
34,django__django-14855,django/django,0,0,1,60,0.2314
35,django__django-14915,django/django,1,1,1,45,0.1356
36,django__django-14999,django/django,0,0,1,60,0.2674
37,django__django-15022,django/django,1,1,1,39,0.1408
38,django__django-15037,django/django,1,1,1,58,0.2853
39,django__django-15098,django/django,0,0,1,60,0.2261
40,django__django-15103,django/django,1,1,1,33,0.1133
41,django__django-15104,django/django,1,1,1,28,0.0784
42,django__django-15127,django/django,1,1,1,49,0.1794
43,django__django-15128,django/django,0,0,1,60,0.3363
44,django__django-15161,django/django,0,0,1,60,0.178
45,django__django-15252,django/django,0,0,1,60,0.2835
46,django__django-15268,django/django,0,0,1,60,0.3091
47,django__django-15277,django/django,1,1,1,40,0.1385
48,django__django-15278,django/django,0,0,1,60,0.2351
49,django__django-15280,django/django,0,0,1,60,0.2557
50,django__django-15315,django/django,0,0,1,60,0.232
51,django__django-15368,django/django,1,1,1,60,0.2025
52,django__django-15375,django/django,0,0,1,60,0.2336
53,django__django-15380,django/django,1,1,1,47,0.1643
54,django__django-15382,django/django,0,0,1,60,0.2629
55,django__django-15467,django/django,0,0,1,60,0.2698
