idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-14011,django/django,0,0,1,60,0.2695
2,django__django-14017,django/django,1,1,1,58,0.2504
3,django__django-14034,django/django,1,1,1,55,0.2289
4,django__django-14053,django/django,1,1,1,46,0.2068
5,django__django-14089,django/django,1,1,1,27,0.0901
6,django__django-14122,django/django,0,0,1,60,0.3364
7,django__django-14140,django/django,0,0,1,60,0.2341
8,django__django-14155,django/django,1,1,1,55,0.1843
9,django__django-14170,django/django,0,0,1,60,0.2526
10,django__django-14238,django/django,1,1,1,47,0.1422
11,django__django-14311,django/django,0,0,1,60,0.245
12,django__django-14315,django/django,1,1,1,25,0.0808
13,django__django-14349,django/django,1,1,1,43,0.1503
14,django__django-14351,django/django,0,0,1,60,0.2108
15,django__django-14373,django/django,1,1,1,24,0.0613
16,django__django-14376,django/django,0,0,1,37,0.1198
17,django__django-14404,django/django,1,1,1,37,0.1065
18,django__django-14434,django/django,1,1,1,46,0.1683
19,django__django-14493,django/django,1,1,1,51,0.1653
20,django__django-14500,django/django,0,0,1,60,0.1982
21,django__django-14534,django/django,1,1,1,55,0.2227
22,django__django-14539,django/django,1,1,1,53,0.2743
23,django__django-14559,django/django,1,1,1,50,0.2558
24,django__django-14580,django/django,1,1,1,59,0.275
25,django__django-14608,django/django,1,1,1,52,0.1883
26,django__django-14631,django/django,0,0,1,60,0.1623
27,django__django-14672,django/django,1,1,1,40,0.1258
28,django__django-14725,django/django,0,0,1,60,0.2577
29,django__django-14752,django/django,1,1,1,35,0.1406
30,django__django-14765,django/django,1,1,1,59,0.157
31,django__django-14771,django/django,1,1,1,40,0.1229
32,django__django-14787,django/django,1,1,1,35,0.1372
33,django__django-14792,django/django,0,0,1,60,0.2486
34,django__django-14855,django/django,0,0,1,60,0.275
35,django__django-14915,django/django,1,1,1,41,0.1481
36,django__django-14999,django/django,0,0,1,60,0.2853
37,django__django-15022,django/django,0,0,1,60,0.3418
38,django__django-15037,django/django,1,1,1,55,0.2766
39,django__django-15098,django/django,0,0,1,60,0.2291
40,django__django-15103,django/django,1,1,1,42,0.1198
41,django__django-15104,django/django,0,0,1,60,0.2466
42,django__django-15127,django/django,1,1,1,33,0.1304
43,django__django-15128,django/django,0,0,1,60,0.2869
