idx,instance_id,repo,judge_success,nc,n,steps,cost
0,sphinx-doc__sphinx-10323,sphinx-doc/sphinx,1,3,5,37,1.2291
1,sphinx-doc__sphinx-10435,sphinx-doc/sphinx,1,2,5,53,1.2746
2,sphinx-doc__sphinx-10449,sphinx-doc/sphinx,0,0,5,60,1.2076
3,sphinx-doc__sphinx-10466,sphinx-doc/sphinx,1,4,5,33,0.8268
4,sphinx-doc__sphinx-10614,sphinx-doc/sphinx,0,0,5,60,1.5724
5,sphinx-doc__sphinx-10673,sphinx-doc/sphinx,0,1,5,60,1.2384
6,sphinx-doc__sphinx-11445,sphinx-doc/sphinx,0,1,5,60,1.1148
7,sphinx-doc__sphinx-11510,sphinx-doc/sphinx,0,0,5,60,1.1803
8,sphinx-doc__sphinx-7440,sphinx-doc/sphinx,0,1,5,60,1.1517
9,sphinx-doc__sphinx-7454,sphinx-doc/sphinx,0,0,5,60,0.9837
10,sphinx-doc__sphinx-7462,sphinx-doc/sphinx,1,5,5,36,0.5491
11,sphinx-doc__sphinx-7590,sphinx-doc/sphinx,0,0,5,60,1.1572
12,sphinx-doc__sphinx-7748,sphinx-doc/sphinx,0,0,5,60,1.3127
13,sphinx-doc__sphinx-7757,sphinx-doc/sphinx,0,4,5,60,1.1065
14,sphinx-doc__sphinx-7889,sphinx-doc/sphinx,1,5,5,50,0.8957
15,sphinx-doc__sphinx-7910,sphinx-doc/sphinx,0,2,5,60,1.0641
16,sphinx-doc__sphinx-7985,sphinx-doc/sphinx,0,0,5,60,1.1719
17,sphinx-doc__sphinx-8035,sphinx-doc/sphinx,0,0,5,60,1.1067
18,sphinx-doc__sphinx-8056,sphinx-doc/sphinx,0,1,5,60,1.1903
19,sphinx-doc__sphinx-8120,sphinx-doc/sphinx,1,2,5,55,1.214
20,sphinx-doc__sphinx-8265,sphinx-doc/sphinx,0,0,5,60,1.0475
21,sphinx-doc__sphinx-8269,sphinx-doc/sphinx,1,5,5,38,0.658
22,sphinx-doc__sphinx-8459,sphinx-doc/sphinx,0,0,5,60,1.1813
23,sphinx-doc__sphinx-8475,sphinx-doc/sphinx,1,5,5,41,0.678
24,sphinx-doc__sphinx-8548,sphinx-doc/sphinx,0,0,5,60,1.1026
25,sphinx-doc__sphinx-8551,sphinx-doc/sphinx,0,0,5,60,1.3157
26,sphinx-doc__sphinx-8593,sphinx-doc/sphinx,0,0,5,60,1.0686
27,sphinx-doc__sphinx-8595,sphinx-doc/sphinx,0,1,5,60,1.1923
28,sphinx-doc__sphinx-8621,sphinx-doc/sphinx,1,4,5,38,1.6164
29,sphinx-doc__sphinx-8638,sphinx-doc/sphinx,0,0,5,60,1.441
