idx,instance_id,repo,judge_success,nc,n,steps,cost
0,sphinx-doc__sphinx-8721,sphinx-doc/sphinx,0,0,1,60,0.3744
1,sphinx-doc__sphinx-9229,sphinx-doc/sphinx,0,0,1,60,0.2065
2,sphinx-doc__sphinx-9230,sphinx-doc/sphinx,0,0,1,60,0.1986
3,sphinx-doc__sphinx-9258,sphinx-doc/sphinx,0,0,1,60,0.254
4,sphinx-doc__sphinx-9281,sphinx-doc/sphinx,0,0,1,60,0.1948
5,sphinx-doc__sphinx-9320,sphinx-doc/sphinx,1,1,1,40,0.1703
6,sphinx-doc__sphinx-9367,sphinx-doc/sphinx,1,1,1,21,0.0689
7,sphinx-doc__sphinx-9461,sphinx-doc/sphinx,0,0,1,60,0.2738
8,sphinx-doc__sphinx-9591,sphinx-doc/sphinx,0,0,1,60,0.1978
9,sphinx-doc__sphinx-9602,sphinx-doc/sphinx,1,1,1,52,0.3085
10,sphinx-doc__sphinx-9658,sphinx-doc/sphinx,0,0,1,60,0.2118
11,sphinx-doc__sphinx-9673,sphinx-doc/sphinx,0,0,1,60,0.2859
12,sphinx-doc__sphinx-9698,sphinx-doc/sphinx,0,0,1,60,0.2575
13,sphinx-doc__sphinx-9711,sphinx-doc/sphinx,1,1,1,34,0.1092
