idx,instance_id,repo,judge_success,nc,n,steps,cost
0,sympy__sympy-18211,sympy/sympy,1,1,1,58,0.1901
1,sympy__sympy-18698,sympy/sympy,0,0,1,60,0.2669
2,sympy__sympy-18763,sympy/sympy,1,1,1,38,0.1383
3,sympy__sympy-19040,sympy/sympy,0,0,1,60,0.2802
4,sympy__sympy-19346,sympy/sympy,1,1,1,46,0.1395
5,sympy__sympy-19495,sympy/sympy,0,0,1,60,0.3206
6,sympy__sympy-19637,sympy/sympy,1,1,1,23,0.0649
7,sympy__sympy-19783,sympy/sympy,0,0,1,60,0.2807
8,sympy__sympy-19954,sympy/sympy,1,1,1,44,0.1478
9,sympy__sympy-20154,sympy/sympy,1,1,1,45,0.1583
10,sympy__sympy-20428,sympy/sympy,0,0,1,60,0.1928
11,sympy__sympy-20438,sympy/sympy,0,0,1,60,0.1914
12,sympy__sympy-20590,sympy/sympy,1,1,1,41,0.1122
13,sympy__sympy-20801,sympy/sympy,0,0,1,60,0.2083
14,sympy__sympy-20916,sympy/sympy,1,1,1,41,0.1591
15,sympy__sympy-21379,sympy/sympy,0,0,1,60,0.2717
16,sympy__sympy-21596,sympy/sympy,0,0,1,60,0.2923
17,sympy__sympy-21612,sympy/sympy,0,0,1,60,0.3047
18,sympy__sympy-21847,sympy/sympy,1,1,1,43,0.2012
19,sympy__sympy-21930,sympy/sympy,0,0,1,60,0.2233
20,sympy__sympy-22080,sympy/sympy,0,0,1,60,0.203
21,sympy__sympy-22456,sympy/sympy,0,0,1,60,0.2001
22,sympy__sympy-22714,sympy/sympy,1,1,1,30,0.0961
23,sympy__sympy-22914,sympy/sympy,0,0,1,60,0.2342
24,sympy__sympy-23262,sympy/sympy,0,0,1,60,0.253
25,sympy__sympy-23413,sympy/sympy,0,0,1,60,0.4594
26,sympy__sympy-23534,sympy/sympy,1,1,1,37,0.1449
27,sympy__sympy-23824,sympy/sympy,1,1,1,29,0.105
28,sympy__sympy-23950,sympy/sympy,1,1,1,34,0.1015
29,sympy__sympy-24066,sympy/sympy,0,0,1,60,0.2453
30,sympy__sympy-24213,sympy/sympy,1,1,1,56,0.1935
31,sympy__sympy-24443,sympy/sympy,1,1,1,43,0.2285
32,sympy__sympy-24539,sympy/sympy,1,1,1,26,0.0854
33,sympy__sympy-24562,sympy/sympy,1,1,1,40,0.1634
34,sympy__sympy-24661,sympy/sympy,0,0,1,60,0.2725
