idx,instance_id,repo,judge_success,nc,n,steps,cost
0,sympy__sympy-18211,sympy/sympy,0,0,1,60,0.1975
1,sympy__sympy-18698,sympy/sympy,0,0,1,60,0.2574
2,sympy__sympy-18763,sympy/sympy,1,1,1,47,0.1371
3,sympy__sympy-19040,sympy/sympy,0,0,1,60,0.2099
4,sympy__sympy-19346,sympy/sympy,1,1,1,32,0.1046
5,sympy__sympy-19495,sympy/sympy,0,0,1,60,0.3628
6,sympy__sympy-19637,sympy/sympy,1,1,1,24,0.0709
7,sympy__sympy-19783,sympy/sympy,0,0,1,60,0.2654
8,sympy__sympy-19954,sympy/sympy,1,1,1,23,0.0835
9,sympy__sympy-20154,sympy/sympy,1,1,1,34,0.1343
10,sympy__sympy-20428,sympy/sympy,0,0,1,60,0.1978
11,sympy__sympy-20438,sympy/sympy,0,0,1,60,0.2225
12,sympy__sympy-20590,sympy/sympy,1,1,1,48,0.1422
13,sympy__sympy-20801,sympy/sympy,0,0,1,60,0.2129
14,sympy__sympy-20916,sympy/sympy,0,0,1,60,0.2235
15,sympy__sympy-21379,sympy/sympy,0,0,1,60,0.2583
16,sympy__sympy-21596,sympy/sympy,0,0,1,60,0.2745
17,sympy__sympy-21612,sympy/sympy,1,1,1,46,0.24
18,sympy__sympy-21847,sympy/sympy,1,1,1,30,0.1415
19,sympy__sympy-21930,sympy/sympy,0,0,1,60,0.1754
20,sympy__sympy-22080,sympy/sympy,0,0,1,60,0.2144
21,sympy__sympy-22456,sympy/sympy,0,0,1,60,0.1906
22,sympy__sympy-22714,sympy/sympy,1,1,1,32,0.1078
23,sympy__sympy-22914,sympy/sympy,0,0,1,60,0.194
24,sympy__sympy-23262,sympy/sympy,1,1,1,49,0.1868
25,sympy__sympy-23413,sympy/sympy,0,0,1,55,0.5018
26,sympy__sympy-23534,sympy/sympy,1,1,1,33,0.1055
27,sympy__sympy-23824,sympy/sympy,1,1,1,29,0.091
28,sympy__sympy-23950,sympy/sympy,1,1,1,53,0.2015
29,sympy__sympy-24066,sympy/sympy,1,1,1,53,0.2499
30,sympy__sympy-24213,sympy/sympy,1,1,1,32,0.1037
31,sympy__sympy-24443,sympy/sympy,1,1,1,50,0.2597
32,sympy__sympy-24539,sympy/sympy,1,1,1,29,0.094
33,sympy__sympy-24562,sympy/sympy,1,1,1,56,0.2492
34,sympy__sympy-24661,sympy/sympy,1,1,1,53,0.2483
