idx,instance_id,repo,judge_success,nc,n,steps,cost
0,sympy__sympy-18211,sympy/sympy,1,1,1,50,0.2122
1,sympy__sympy-18698,sympy/sympy,0,0,1,60,0.2649
2,sympy__sympy-18763,sympy/sympy,1,1,1,58,0.2179
3,sympy__sympy-19040,sympy/sympy,0,0,1,60,0.2422
4,sympy__sympy-19346,sympy/sympy,1,1,1,35,0.1264
5,sympy__sympy-19495,sympy/sympy,1,1,1,60,0.2732
6,sympy__sympy-19637,sympy/sympy,1,1,1,33,0.0899
7,sympy__sympy-19783,sympy/sympy,1,1,1,44,0.2055
8,sympy__sympy-19954,sympy/sympy,1,1,1,43,0.1419
9,sympy__sympy-20154,sympy/sympy,1,1,1,51,0.2073
10,sympy__sympy-20428,sympy/sympy,0,0,1,60,0.1971
11,sympy__sympy-20438,sympy/sympy,0,0,1,60,0.2498
12,sympy__sympy-20590,sympy/sympy,1,1,1,34,0.1008
13,sympy__sympy-20801,sympy/sympy,0,0,1,60,0.2111
14,sympy__sympy-20916,sympy/sympy,1,1,1,52,0.2061
15,sympy__sympy-21379,sympy/sympy,0,0,1,60,0.2665
16,sympy__sympy-21596,sympy/sympy,1,1,1,60,0.2861
17,sympy__sympy-21612,sympy/sympy,0,0,1,60,0.2747
18,sympy__sympy-21847,sympy/sympy,1,1,1,27,0.1526
19,sympy__sympy-21930,sympy/sympy,1,1,1,54,0.2151
20,sympy__sympy-22080,sympy/sympy,0,0,1,60,0.3052
21,sympy__sympy-22456,sympy/sympy,0,0,1,60,0.2632
22,sympy__sympy-22714,sympy/sympy,1,1,1,28,0.106
23,sympy__sympy-22914,sympy/sympy,1,1,1,50,0.1617
24,sympy__sympy-23262,sympy/sympy,1,1,1,41,0.1793
25,sympy__sympy-23413,sympy/sympy,0,0,1,60,0.2983
26,sympy__sympy-23534,sympy/sympy,1,1,1,46,0.1806
27,sympy__sympy-23824,sympy/sympy,1,1,1,33,0.123
28,sympy__sympy-23950,sympy/sympy,1,1,1,51,0.174
29,sympy__sympy-24066,sympy/sympy,0,0,1,60,0.3002
30,sympy__sympy-24213,sympy/sympy,1,1,1,45,0.1751
31,sympy__sympy-24443,sympy/sympy,1,1,1,51,0.2252
32,sympy__sympy-24539,sympy/sympy,1,1,1,34,0.1347
33,sympy__sympy-24562,sympy/sympy,1,1,1,31,0.1331
34,sympy__sympy-24661,sympy/sympy,0,0,1,60,0.2196
