idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-15695,django/django,0,0,1,32,0.2502
2,django__django-15731,django/django,1,1,1,39,0.1294
3,django__django-15732,django/django,1,1,1,57,0.2372
4,django__django-15741,django/django,0,0,1,60,0.2155
5,django__django-15814,django/django,1,1,1,51,0.2086
6,django__django-15851,django/django,0,0,1,45,0.1564
7,django__django-15863,django/django,1,1,1,28,0.1018
8,django__django-15916,django/django,1,1,1,58,0.2873
9,django__django-15930,django/django,0,0,1,60,0.2648
10,django__django-15957,django/django,0,0,1,60,0.2707
11,django__django-15973,django/django,0,0,1,60,0.236
12,django__django-15987,django/django,1,1,1,47,0.1916
13,django__django-16032,django/django,0,0,1,60,0.2501
14,django__django-16082,django/django,1,1,1,51,0.1863
15,django__django-16100,django/django,0,0,1,60,0.322
16,django__django-16116,django/django,0,0,1,60,0.2178
17,django__django-16136,django/django,1,1,1,60,0.2405
18,django__django-16139,django/django,1,1,1,49,0.1537
19,django__django-16145,django/django,1,1,1,46,0.1967
20,django__django-16255,django/django,1,1,1,24,0.0726
21,django__django-16256,django/django,0,0,1,60,0.2311
22,django__django-16263,django/django,0,0,1,60,0.2577
23,django__django-16315,django/django,1,1,1,57,0.235
24,django__django-16333,django/django,0,0,1,60,0.2467
25,django__django-16429,django/django,1,1,1,26,0.1116
26,django__django-16454,django/django,0,0,1,60,0.2302
27,django__django-16485,django/django,1,1,1,34,0.1157
28,django__django-16493,django/django,1,1,1,45,0.1912
29,django__django-16502,django/django,1,1,1,41,0.1806
30,django__django-16527,django/django,1,1,1,49,0.1565
31,django__django-16560,django/django,1,1,1,60,0.4018
32,django__django-16569,django/django,1,1,1,33,0.1081
33,django__django-16595,django/django,1,1,1,44,0.182
34,django__django-16612,django/django,1,1,1,38,0.1446
35,django__django-16631,django/django,1,1,1,58,0.2609
36,django__django-16642,django/django,1,1,1,45,0.1488
37,django__django-16661,django/django,1,1,1,45,0.2093
38,django__django-16662,django/django,1,1,1,41,0.1998
39,django__django-16667,django/django,1,1,1,30,0.116
40,django__django-16801,django/django,1,1,1,32,0.1419
41,django__django-16819,django/django,0,0,1,60,0.2402
42,django__django-16877,django/django,0,0,1,60,0.1923
43,django__django-16899,django/django,1,1,1,56,0.2138
44,django__django-16901,django/django,0,0,1,60,0.2301
45,django__django-16938,django/django,0,0,1,60,0.2574
46,django__django-16950,django/django,0,0,1,60,0.3463
