idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-15695,django/django,0,0,1,60,0.2637
2,django__django-15731,django/django,1,1,1,56,0.183
3,django__django-15732,django/django,0,0,1,60,0.2428
4,django__django-15741,django/django,1,1,1,51,0.1672
5,django__django-15814,django/django,0,0,1,60,0.229
6,django__django-15851,django/django,1,1,1,41,0.1537
7,django__django-15863,django/django,1,1,1,30,0.0825
8,django__django-15916,django/django,1,1,1,41,0.1788
9,django__django-15930,django/django,0,0,1,60,0.2787
10,django__django-15957,django/django,0,0,1,60,0.2253
11,django__django-15973,django/django,0,0,1,60,0.269
12,django__django-15987,django/django,0,0,1,60,0.2538
13,django__django-16032,django/django,0,0,1,60,0.2125
14,django__django-16082,django/django,1,1,1,50,0.175
15,django__django-16100,django/django,0,0,1,60,0.253
16,django__django-16116,django/django,0,0,1,60,0.2627
17,django__django-16136,django/django,0,0,1,60,0.2569
18,django__django-16139,django/django,1,1,1,49,0.2131
19,django__django-16145,django/django,1,1,1,49,0.2079
20,django__django-16255,django/django,1,1,1,38,0.1402
21,django__django-16256,django/django,0,0,1,60,0.2328
22,django__django-16263,django/django,0,0,1,60,0.1997
23,django__django-16315,django/django,0,0,1,60,0.3176
24,django__django-16333,django/django,0,0,1,60,0.3091
25,django__django-16429,django/django,1,1,1,34,0.1354
26,django__django-16454,django/django,1,1,1,51,0.1877
27,django__django-16485,django/django,1,1,1,32,0.1272
28,django__django-16493,django/django,1,1,1,40,0.1341
29,django__django-16502,django/django,1,1,1,49,0.2038
30,django__django-16527,django/django,0,0,1,34,0.0905
31,django__django-16560,django/django,0,0,1,60,0.27
32,django__django-16569,django/django,1,1,1,42,0.1213
33,django__django-16595,django/django,1,1,1,46,0.1655
34,django__django-16612,django/django,1,1,1,60,0.2579
35,django__django-16631,django/django,1,1,1,50,0.2028
36,django__django-16642,django/django,1,1,1,35,0.1144
37,django__django-16661,django/django,0,0,1,60,0.2556
38,django__django-16662,django/django,1,1,1,51,0.2105
39,django__django-16667,django/django,1,1,1,33,0.1181
40,django__django-16801,django/django,1,1,1,43,0.1818
41,django__django-16819,django/django,1,1,1,53,0.2354
42,django__django-16877,django/django,0,0,1,60,0.2073
43,django__django-16899,django/django,0,0,1,60,0.2845
44,django__django-16901,django/django,0,0,1,60,0.3245
45,django__django-16938,django/django,0,0,1,60,0.255
46,django__django-16950,django/django,0,0,1,60,0.2315
