idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-15695,django/django,0,0,1,60,0.2624
2,django__django-15731,django/django,1,1,1,32,0.1046
3,django__django-15732,django/django,0,0,1,60,0.2232
4,django__django-15741,django/django,1,1,1,50,0.1836
5,django__django-15814,django/django,1,1,1,55,0.1889
6,django__django-15851,django/django,1,1,1,42,0.1207
7,django__django-15863,django/django,1,1,1,33,0.1419
8,django__django-15916,django/django,0,0,1,60,0.2737
9,django__django-15930,django/django,0,0,1,60,0.2767
10,django__django-15957,django/django,0,0,1,60,0.2446
11,django__django-15973,django/django,0,0,1,60,0.1962
12,django__django-15987,django/django,0,0,1,60,0.2513
13,django__django-16032,django/django,0,0,1,60,0.2301
14,django__django-16082,django/django,1,1,1,54,0.2064
15,django__django-16100,django/django,0,0,1,60,0.2628
16,django__django-16116,django/django,0,0,1,60,0.2344
17,django__django-16136,django/django,0,0,1,60,0.2931
18,django__django-16139,django/django,1,1,1,53,0.1907
19,django__django-16145,django/django,1,1,1,54,0.2266
20,django__django-16255,django/django,1,1,1,30,0.1177
21,django__django-16256,django/django,0,0,1,60,0.3145
22,django__django-16263,django/django,0,0,1,60,0.2307
23,django__django-16315,django/django,0,0,1,60,0.2521
24,django__django-16333,django/django,0,0,1,60,0.2115
25,django__django-16429,django/django,1,1,1,32,0.1006
26,django__django-16454,django/django,0,0,1,60,0.2457
27,django__django-16485,django/django,1,1,1,31,0.1456
28,django__django-16493,django/django,1,1,1,52,0.1931
29,django__django-16502,django/django,1,1,1,55,0.2459
30,django__django-16527,django/django,1,1,1,29,0.0812
31,django__django-16560,django/django,1,1,1,48,0.16
32,django__django-16569,django/django,1,1,1,26,0.077
33,django__django-16595,django/django,1,1,1,55,0.2197
34,django__django-16612,django/django,1,1,1,59,0.214
35,django__django-16631,django/django,0,0,1,60,0.2911
36,django__django-16642,django/django,1,1,1,36,0.1202
37,django__django-16661,django/django,0,0,1,60,0.2948
38,django__django-16662,django/django,1,1,1,58,0.2801
39,django__django-16667,django/django,1,1,1,24,0.0766
40,django__django-16801,django/django,1,1,1,37,0.1412
41,django__django-16819,django/django,0,0,1,60,0.2922
42,django__django-16877,django/django,0,0,1,60,0.179
43,django__django-16899,django/django,0,0,1,60,0.1722
44,django__django-16901,django/django,1,1,1,55,0.2652
45,django__django-16938,django/django,0,0,1,60,0.2691
46,django__django-16950,django/django,1,1,1,54,0.274
