idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-15695,django/django,0,0,1,60,0.2586
2,django__django-15731,django/django,1,1,1,23,0.0708
3,django__django-15732,django/django,0,0,1,60,0.2288
4,django__django-15741,django/django,1,1,1,51,0.162
5,django__django-15814,django/django,0,0,1,60,0.2105
6,django__django-15851,django/django,0,0,1,46,0.1616
7,django__django-15863,django/django,1,1,1,30,0.0985
8,django__django-15916,django/django,0,0,1,60,0.2501
9,django__django-15930,django/django,0,0,1,60,0.241
10,django__django-15957,django/django,0,0,1,60,0.2655
11,django__django-15973,django/django,0,0,1,60,0.2706
12,django__django-15987,django/django,1,1,1,52,0.2052
13,django__django-16032,django/django,0,0,1,60,0.2919
14,django__django-16082,django/django,1,1,1,49,0.1824
15,django__django-16100,django/django,0,0,1,60,0.2547
16,django__django-16116,django/django,0,0,1,60,0.2355
17,django__django-16136,django/django,1,1,1,46,0.1703
18,django__django-16139,django/django,1,1,1,57,0.2201
19,django__django-16145,django/django,1,1,1,40,0.1444
20,django__django-16255,django/django,1,1,1,30,0.1251
21,django__django-16256,django/django,0,0,1,60,0.257
22,django__django-16263,django/django,0,0,1,60,0.2452
23,django__django-16315,django/django,0,0,1,60,0.2236
24,django__django-16333,django/django,0,0,1,60,0.2315
25,django__django-16429,django/django,1,1,1,28,0.1214
26,django__django-16454,django/django,0,0,1,60,0.2654
27,django__django-16485,django/django,1,1,1,31,0.098
28,django__django-16493,django/django,1,1,1,42,0.1579
29,django__django-16502,django/django,0,0,1,60,0.2592
30,django__django-16527,django/django,1,1,1,45,0.1377
31,django__django-16560,django/django,0,0,1,60,0.2741
32,django__django-16569,django/django,1,1,1,23,0.0694
33,django__django-16595,django/django,1,1,1,52,0.2078
34,django__django-16612,django/django,1,1,1,43,0.1486
35,django__django-16631,django/django,1,1,1,56,0.3002
36,django__django-16642,django/django,1,1,1,31,0.1002
37,django__django-16661,django/django,0,0,1,60,0.2617
38,django__django-16662,django/django,1,1,1,53,0.242
39,django__django-16667,django/django,1,1,1,22,0.0733
40,django__django-16801,django/django,1,1,1,49,0.1863
41,django__django-16819,django/django,0,0,1,60,0.2274
42,django__django-16877,django/django,0,0,1,60,0.1931
43,django__django-16899,django/django,0,0,1,60,0.2358
44,django__django-16901,django/django,1,1,1,57,0.2772
45,django__django-16938,django/django,0,0,1,60,0.2686
46,django__django-16950,django/django,0,0,1,60,0.2346
