idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-10554,django/django,0,0,1,60,0.2676
2,django__django-10880,django/django,0,0,1,60,0.263
3,django__django-10914,django/django,1,1,1,54,0.2021
4,django__django-10973,django/django,0,0,1,31,0.1094
5,django__django-10999,django/django,1,1,1,22,0.0759
6,django__django-11066,django/django,1,1,1,49,0.1919
7,django__django-11087,django/django,0,0,1,60,0.285
8,django__django-11095,django/django,1,1,1,49,0.1801
9,django__django-11099,django/django,1,1,1,21,0.0695
10,django__django-11119,django/django,1,1,1,48,0.1771
11,django__django-11133,django/django,1,1,1,57,0.1994
12,django__django-11138,django/django,0,0,1,60,0.2048
13,django__django-11141,django/django,0,0,1,60,0.2426
14,django__django-11149,django/django,0,0,1,60,0.2208
15,django__django-11163,django/django,1,1,1,37,0.1012
16,django__django-11179,django/django,1,1,1,43,0.1203
17,django__django-11206,django/django,1,1,1,59,0.401
18,django__django-11211,django/django,0,0,1,60,0.2418
19,django__django-11239,django/django,1,1,1,35,0.1178
20,django__django-11265,django/django,0,0,1,60,0.3148
21,django__django-11276,django/django,1,1,1,53,0.2078
22,django__django-11292,django/django,0,0,1,60,0.2806
23,django__django-11299,django/django,1,1,1,58,0.2768
24,django__django-11333,django/django,1,1,1,56,0.2061
25,django__django-11400,django/django,1,1,1,49,0.1702
26,django__django-11433,django/django,0,0,1,60,0.3838
27,django__django-11451,django/django,1,1,1,41,0.1634
28,django__django-11477,django/django,0,0,1,60,0.2122
29,django__django-11490,django/django,0,0,1,60,0.2667
30,django__django-11532,django/django,0,0,1,60,0.1959
31,django__django-11551,django/django,1,1,1,41,0.236
32,django__django-11555,django/django,0,0,1,60,0.2574
33,django__django-11603,django/django,1,1,1,59,0.2163
34,django__django-11728,django/django,1,1,1,60,0.2488
35,django__django-11734,django/django,0,0,1,60,0.2464
36,django__django-11740,django/django,0,0,1,60,0.2724
37,django__django-11749,django/django,0,0,1,60,0.3019
38,django__django-11790,django/django,0,0,1,60,0.1971
39,django__django-11815,django/django,1,1,1,55,0.2366
40,django__django-11820,django/django,0,0,1,60,0.2451
41,django__django-11848,django/django,1,1,1,43,0.2227
42,django__django-11880,django/django,1,1,1,43,0.1387
43,django__django-11885,django/django,0,0,1,60,0.3197
44,django__django-11951,django/django,1,1,1,35,0.1081
45,django__django-11964,django/django,0,0,1,60,0.2171
46,django__django-11999,django/django,0,0,1,60,0.2113
47,django__django-12039,django/django,0,0,1,60,0.3129
48,django__django-12050,django/django,1,1,1,52,0.1821
49,django__django-12125,django/django,0,0,1,60,0.2213
50,django__django-12143,django/django,1,1,1,40,0.125
51,django__django-12155,django/django,1,1,1,33,0.1301
52,django__django-12193,django/django,0,0,1,60,0.2237
53,django__django-12209,django/django,0,0,1,60,0.2659
54,django__django-12262,django/django,1,1,1,46,0.1908
55,django__django-12273,django/django,0,0,1,60,0.3311
56,django__django-12276,django/django,1,1,1,53,0.2047
57,django__django-12304,django/django,1,1,1,47,0.1883
58,django__django-12308,django/django,1,1,1,58,0.2217
59,django__django-12325,django/django,1,1,1,56,0.2028
60,django__django-12406,django/django,0,0,1,60,0.2224
61,django__django-12419,django/django,1,1,1,35,0.1015
62,django__django-12663,django/django,0,0,1,60,0.2541
63,django__django-12708,django/django,1,1,1,45,0.2051
64,django__django-12713,django/django,0,0,1,60,0.2464
65,django__django-12741,django/django,0,0,1,42,0.127
66,django__django-12754,django/django,0,0,1,60,0.2461
67,django__django-12774,django/django,1,1,1,55,0.1833
68,django__django-12858,django/django,0,0,1,60,0.2455
69,django__django-12965,django/django,0,0,1,60,0.303
70,django__django-13012,django/django,0,0,1,60,0.2618
71,django__django-13023,django/django,1,1,1,48,0.2091
72,django__django-13028,django/django,1,1,1,54,0.2234
73,django__django-13033,django/django,1,1,1,59,0.3919
74,django__django-13089,django/django,1,1,1,40,0.1618
75,django__django-13109,django/django,1,1,1,45,0.1745
76,django__django-13112,django/django,0,0,1,60,0.2086
77,django__django-13121,django/django,0,0,1,60,0.2115
78,django__django-13128,django/django,0,0,1,60,0.2771
79,django__django-13158,django/django,0,0,1,60,0.2254
80,django__django-13195,django/django,1,1,1,56,0.2865
81,django__django-13212,django/django,0,0,1,60,0.3507
82,django__django-13279,django/django,1,1,1,44,0.2509
83,django__django-13297,django/django,0,0,1,60,0.2455
84,django__django-13315,django/django,0,0,1,60,0.2243
85,django__django-13343,django/django,1,1,1,53,0.2434
86,django__django-13344,django/django,0,0,1,60,0.3639
87,django__django-13346,django/django,0,0,1,60,0.2671
88,django__django-13363,django/django,1,1,1,40,0.1998
89,django__django-13401,django/django,1,1,1,36,0.1366
90,django__django-13406,django/django,0,0,1,60,0.2682
91,django__django-13410,django/django,1,1,1,24,0.0675
92,django__django-13417,django/django,0,0,1,60,0.2692
93,django__django-13449,django/django,0,0,1,60,0.2712
94,django__django-13512,django/django,1,1,1,60,0.2204
