idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-10554,django/django,0,0,5,60,1.3846
2,django__django-10880,django/django,1,4,5,47,1.1144
3,django__django-10914,django/django,0,0,5,60,1.1444
4,django__django-10973,django/django,0,2,5,41,0.6892
5,django__django-10999,django/django,1,5,5,21,0.509
6,django__django-11066,django/django,1,5,5,42,0.5341
7,django__django-11087,django/django,0,1,5,60,1.3007
8,django__django-11095,django/django,1,4,5,41,1.0047
9,django__django-11099,django/django,1,5,5,20,0.4021
10,django__django-11119,django/django,1,5,5,31,0.7617
11,django__django-11133,django/django,1,3,5,35,0.6916
12,django__django-11138,django/django,0,0,5,60,1.0789
13,django__django-11141,django/django,0,0,5,60,1.2676
14,django__django-11149,django/django,0,1,5,60,1.4909
15,django__django-11163,django/django,1,5,5,30,0.6314
16,django__django-11179,django/django,1,4,5,53,1.1005
17,django__django-11206,django/django,0,2,5,60,1.549
18,django__django-11211,django/django,0,0,5,60,1.4087
19,django__django-11239,django/django,1,4,5,37,0.9721
20,django__django-11265,django/django,0,1,5,60,1.4369
21,django__django-11276,django/django,0,1,5,60,1.1884
22,django__django-11292,django/django,0,0,5,60,1.2652
23,django__django-11299,django/django,0,2,5,60,1.2283
24,django__django-11333,django/django,0,3,5,60,1.1259
25,django__django-11400,django/django,0,3,5,60,1.2616
26,django__django-11433,django/django,0,0,5,60,1.3191
27,django__django-11451,django/django,1,5,5,25,0.6557
28,django__django-11477,django/django,0,0,5,60,1.171
29,django__django-11490,django/django,0,3,5,60,1.1728
30,django__django-11532,django/django,0,2,5,60,1.065
31,django__django-11551,django/django,1,5,5,40,1.0165
32,django__django-11555,django/django,0,0,5,60,1.2019
33,django__django-11603,django/django,1,5,5,44,0.8638
34,django__django-11728,django/django,1,4,5,45,1.2564
35,django__django-11734,django/django,0,0,5,60,1.2281
36,django__django-11740,django/django,0,1,5,60,1.3507
37,django__django-11749,django/django,1,3,5,58,1.1881
38,django__django-11790,django/django,0,2,5,60,0.9964
39,django__django-11815,django/django,1,3,5,54,1.1463
40,django__django-11820,django/django,0,1,5,60,1.1355
41,django__django-11848,django/django,1,5,5,37,0.9279
42,django__django-11880,django/django,1,5,5,43,0.8051
43,django__django-11885,django/django,0,0,5,60,1.8523
44,django__django-11951,django/django,1,5,5,40,0.7129
45,django__django-11964,django/django,1,1,5,53,1.1373
46,django__django-11999,django/django,1,3,5,51,0.8867
47,django__django-12039,django/django,1,4,5,48,1.1307
48,django__django-12050,django/django,1,4,5,38,0.8431
49,django__django-12125,django/django,0,0,5,60,1.248
50,django__django-12143,django/django,1,5,5,44,0.8215
51,django__django-12155,django/django,1,5,5,43,0.7812
52,django__django-12193,django/django,1,4,5,51,1.1651
53,django__django-12209,django/django,1,1,5,53,1.5212
54,django__django-12262,django/django,1,4,5,44,1.1488
55,django__django-12273,django/django,0,1,5,60,1.7449
56,django__django-12276,django/django,1,4,5,40,0.9919
57,django__django-12304,django/django,1,4,5,45,0.9751
58,django__django-12308,django/django,1,3,5,56,1.1389
59,django__django-12325,django/django,0,3,5,60,1.1898
60,django__django-12406,django/django,0,0,5,60,1.1893
61,django__django-12419,django/django,1,4,5,45,0.7741
62,django__django-12663,django/django,0,0,5,60,1.1434
63,django__django-12708,django/django,1,2,5,49,1.2734
64,django__django-12713,django/django,1,5,5,54,0.9692
65,django__django-12741,django/django,0,1,5,35,0.7277
66,django__django-12754,django/django,0,0,5,60,1.4707
67,django__django-12774,django/django,0,2,5,60,0.9821
68,django__django-12858,django/django,0,0,5,60,1.0937
69,django__django-12965,django/django,0,0,5,60,1.1096
