idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-10554,django/django,0,0,1,60,0.2686
2,django__django-10880,django/django,1,1,1,43,0.1734
3,django__django-10914,django/django,0,0,1,60,0.2216
4,django__django-10973,django/django,0,0,1,51,0.2083
5,django__django-10999,django/django,1,1,1,22,0.0741
6,django__django-11066,django/django,1,1,1,28,0.0758
7,django__django-11087,django/django,0,0,1,60,0.246
8,django__django-11095,django/django,0,0,1,60,0.2622
9,django__django-11099,django/django,1,1,1,30,0.0807
10,django__django-11119,django/django,1,1,1,33,0.0941
11,django__django-11133,django/django,1,1,1,60,0.2393
12,django__django-11138,django/django,0,0,1,60,0.2421
13,django__django-11141,django/django,0,0,1,60,0.2852
14,django__django-11149,django/django,0,0,1,60,0.2761
15,django__django-11163,django/django,1,1,1,33,0.1033
16,django__django-11179,django/django,1,1,1,50,0.1764
17,django__django-11206,django/django,0,0,1,60,0.3373
18,django__django-11211,django/django,0,0,1,60,0.3525
19,django__django-11239,django/django,1,1,1,56,0.2172
20,django__django-11265,django/django,0,0,1,60,0.2632
21,django__django-11276,django/django,1,1,1,37,0.1264
22,django__django-11292,django/django,1,1,1,51,0.2524
23,django__django-11299,django/django,0,0,1,60,0.234
24,django__django-11333,django/django,1,1,1,52,0.2082
