idx,instance_id,repo,judge_success,nc,n,steps,cost
0,sympy__sympy-18211,sympy/sympy,0,0,1,60,0.2058
1,sympy__sympy-18698,sympy/sympy,1,1,1,59,0.2464
2,sympy__sympy-18763,sympy/sympy,0,0,1,60,0.2405
3,sympy__sympy-19040,sympy/sympy,0,0,1,60,0.288
4,sympy__sympy-19346,sympy/sympy,1,1,1,54,0.2092
5,sympy__sympy-19495,sympy/sympy,0,0,1,60,0.2764
6,sympy__sympy-19637,sympy/sympy,1,1,1,26,0.0733
7,sympy__sympy-19783,sympy/sympy,0,0,1,60,0.2533
8,sympy__sympy-19954,sympy/sympy,1,1,1,26,0.105
9,sympy__sympy-20154,sympy/sympy,1,1,1,33,0.1138
10,sympy__sympy-20428,sympy/sympy,0,0,1,60,0.2477
11,sympy__sympy-20438,sympy/sympy,0,0,1,60,0.2186
12,sympy__sympy-20590,sympy/sympy,1,1,1,38,0.1223
13,sympy__sympy-20801,sympy/sympy,0,0,1,60,0.222
14,sympy__sympy-20916,sympy/sympy,0,0,1,60,0.2002
15,sympy__sympy-21379,sympy/sympy,1,1,1,35,0.1313
16,sympy__sympy-21596,sympy/sympy,0,0,1,60,0.2822
17,sympy__sympy-21612,sympy/sympy,0,0,1,60,0.3015
18,sympy__sympy-21847,sympy/sympy,1,1,1,52,0.2555
19,sympy__sympy-21930,sympy/sympy,0,0,1,60,0.1723
20,sympy__sympy-22080,sympy/sympy,0,0,1,60,0.2198
21,sympy__sympy-22456,sympy/sympy,0,0,1,60,0.2228
22,sympy__sympy-22714,sympy/sympy,1,1,1,30,0.1251
23,sympy__sympy-22914,sympy/sympy,1,1,1,52,0.1865
24,sympy__sympy-23262,sympy/sympy,1,1,1,50,0.1783
25,sympy__sympy-23413,sympy/sympy,0,0,1,60,0.4568
26,sympy__sympy-23534,sympy/sympy,1,1,1,39,0.1428
27,sympy__sympy-23824,sympy/sympy,1,1,1,23,0.1082
28,sympy__sympy-23950,sympy/sympy,1,1,1,48,0.1853
29,sympy__sympy-24066,sympy/sympy,0,0,1,60,0.2674
30,sympy__sympy-24213,sympy/sympy,1,1,1,37,0.128
31,sympy__sympy-24443,sympy/sympy,1,1,1,39,0.1932
32,sympy__sympy-24539,sympy/sympy,1,1,1,27,0.0752
33,sympy__sympy-24562,sympy/sympy,1,1,1,49,0.215
34,sympy__sympy-24661,sympy/sympy,1,1,1,56,0.2045
