idx,instance_id,repo,judge_success,nc,n,steps,cost
0,sympy__sympy-11618,sympy/sympy,1,1,1,45,0.1577
1,sympy__sympy-12096,sympy/sympy,1,1,1,32,0.0931
2,sympy__sympy-12419,sympy/sympy,0,0,1,60,0.2199
3,sympy__sympy-12481,sympy/sympy,1,1,1,42,0.1941
4,sympy__sympy-12489,sympy/sympy,0,0,1,60,0.2768
5,sympy__sympy-13031,sympy/sympy,0,0,1,60,0.1929
6,sympy__sympy-13091,sympy/sympy,0,0,1,60,0.2253
7,sympy__sympy-13372,sympy/sympy,1,1,1,26,0.0866
8,sympy__sympy-13480,sympy/sympy,1,1,1,17,0.0437
9,sympy__sympy-13551,sympy/sympy,0,0,1,60,0.3151
10,sympy__sympy-13615,sympy/sympy,0,0,1,56,0.2387
11,sympy__sympy-13647,sympy/sympy,1,1,1,34,0.1167
12,sympy__sympy-13757,sympy/sympy,0,0,1,60,0.2129
13,sympy__sympy-13798,sympy/sympy,1,1,1,58,0.2667
14,sympy__sympy-13852,sympy/sympy,0,0,1,60,0.2278
15,sympy__sympy-13877,sympy/sympy,1,1,1,43,0.2254
16,sympy__sympy-13878,sympy/sympy,0,0,1,60,0.2508
17,sympy__sympy-13974,sympy/sympy,0,0,1,60,0.3176
18,sympy__sympy-14248,sympy/sympy,0,0,1,60,0.2205
19,sympy__sympy-14531,sympy/sympy,0,0,1,60,0.2198
20,sympy__sympy-14711,sympy/sympy,1,1,1,43,0.1146
21,sympy__sympy-14976,sympy/sympy,0,0,1,60,0.2185
22,sympy__sympy-15017,sympy/sympy,0,0,1,60,0.1935
23,sympy__sympy-15345,sympy/sympy,1,1,1,51,0.1961
24,sympy__sympy-15349,sympy/sympy,1,1,1,33,0.1486
25,sympy__sympy-15599,sympy/sympy,0,0,1,60,0.3142
26,sympy__sympy-15809,sympy/sympy,1,1,1,39,0.158
27,sympy__sympy-15875,sympy/sympy,0,0,1,60,0.2806
28,sympy__sympy-15976,sympy/sympy,0,0,1,60,0.3316
29,sympy__sympy-16450,sympy/sympy,1,1,1,46,0.2019
30,sympy__sympy-16597,sympy/sympy,1,1,1,54,0.2624
31,sympy__sympy-16766,sympy/sympy,0,0,1,60,0.2193
32,sympy__sympy-16792,sympy/sympy,0,0,1,60,0.236
33,sympy__sympy-16886,sympy/sympy,1,1,1,21,0.0538
34,sympy__sympy-17139,sympy/sympy,1,1,1,37,0.1069
35,sympy__sympy-17318,sympy/sympy,1,1,1,35,0.1199
36,sympy__sympy-17630,sympy/sympy,0,0,1,60,0.2297
37,sympy__sympy-17655,sympy/sympy,0,0,1,60,0.205
38,sympy__sympy-18189,sympy/sympy,1,1,1,34,0.1262
39,sympy__sympy-18199,sympy/sympy,0,0,1,60,0.2582
40,sympy__sympy-18211,sympy/sympy,1,1,1,59,0.1936
41,sympy__sympy-18698,sympy/sympy,0,0,1,60,0.3035
42,sympy__sympy-18763,sympy/sympy,0,0,1,60,0.232
43,sympy__sympy-19040,sympy/sympy,0,0,1,60,0.1978
44,sympy__sympy-19346,sympy/sympy,1,1,1,35,0.1358
45,sympy__sympy-19495,sympy/sympy,0,0,1,60,0.3531
46,sympy__sympy-19637,sympy/sympy,1,1,1,27,0.0649
47,sympy__sympy-19783,sympy/sympy,0,0,1,60,0.2226
48,sympy__sympy-19954,sympy/sympy,1,1,1,38,0.158
49,sympy__sympy-20154,sympy/sympy,1,1,1,45,0.1572
50,sympy__sympy-20428,sympy/sympy,1,1,1,58,0.2182
51,sympy__sympy-20438,sympy/sympy,0,0,1,60,0.2598
52,sympy__sympy-20590,sympy/sympy,1,1,1,51,0.1369
53,sympy__sympy-20801,sympy/sympy,0,0,1,60,0.2063
54,sympy__sympy-20916,sympy/sympy,0,0,1,60,0.2642
55,sympy__sympy-21379,sympy/sympy,0,0,1,60,0.2485
56,sympy__sympy-21596,sympy/sympy,0,0,1,60,0.2877
57,sympy__sympy-21612,sympy/sympy,0,0,1,60,0.3079
58,sympy__sympy-21847,sympy/sympy,1,1,1,34,0.1536
59,sympy__sympy-21930,sympy/sympy,1,1,1,57,0.2056
60,sympy__sympy-22080,sympy/sympy,0,0,1,60,0.2907
61,sympy__sympy-22456,sympy/sympy,0,0,1,60,0.2848
62,sympy__sympy-22714,sympy/sympy,1,1,1,51,0.1675
63,sympy__sympy-22914,sympy/sympy,1,1,1,46,0.1551
64,sympy__sympy-23262,sympy/sympy,1,1,1,50,0.2014
65,sympy__sympy-23413,sympy/sympy,0,0,1,35,0.5043
66,sympy__sympy-23534,sympy/sympy,1,1,1,36,0.112
67,sympy__sympy-23824,sympy/sympy,1,1,1,31,0.1169
68,sympy__sympy-23950,sympy/sympy,0,0,1,60,0.2219
69,sympy__sympy-24066,sympy/sympy,1,1,1,56,0.2825
70,sympy__sympy-24213,sympy/sympy,1,1,1,45,0.1612
71,sympy__sympy-24443,sympy/sympy,1,1,1,37,0.1899
72,sympy__sympy-24539,sympy/sympy,1,1,1,22,0.0615
73,sympy__sympy-24562,sympy/sympy,1,1,1,38,0.1244
74,sympy__sympy-24661,sympy/sympy,1,1,1,46,0.1999
