idx,instance_id,repo,judge_success,nc,n,steps,cost
0,sympy__sympy-11618,sympy/sympy,1,5,5,46,0.7403
1,sympy__sympy-12096,sympy/sympy,1,4,5,49,0.8429
2,sympy__sympy-12419,sympy/sympy,0,1,5,60,1.2441
3,sympy__sympy-12481,sympy/sympy,1,5,5,42,1.2083
4,sympy__sympy-12489,sympy/sympy,0,0,5,60,1.2069
5,sympy__sympy-13031,sympy/sympy,0,0,5,60,0.9322
6,sympy__sympy-13091,sympy/sympy,0,0,5,60,1.1071
7,sympy__sympy-13372,sympy/sympy,1,5,5,27,0.5829
8,sympy__sympy-13480,sympy/sympy,1,5,5,15,0.2725
9,sympy__sympy-13551,sympy/sympy,0,1,5,60,1.5754
10,sympy__sympy-13615,sympy/sympy,0,1,5,60,1.5038
11,sympy__sympy-13647,sympy/sympy,1,5,5,35,0.67
12,sympy__sympy-13757,sympy/sympy,0,3,5,60,0.8181
13,sympy__sympy-13798,sympy/sympy,0,2,5,59,1.0648
14,sympy__sympy-13852,sympy/sympy,0,0,5,60,1.449
15,sympy__sympy-13877,sympy/sympy,1,5,5,57,1.0969
16,sympy__sympy-13878,sympy/sympy,0,0,5,60,1.1956
17,sympy__sympy-13974,sympy/sympy,0,1,5,60,1.5884
18,sympy__sympy-14248,sympy/sympy,0,0,5,60,1.1882
19,sympy__sympy-14531,sympy/sympy,0,1,5,60,1.1472
20,sympy__sympy-14711,sympy/sympy,1,5,5,27,0.4651
21,sympy__sympy-14976,sympy/sympy,0,2,5,60,1.2048
22,sympy__sympy-15017,sympy/sympy,1,3,5,40,0.7445
23,sympy__sympy-15345,sympy/sympy,1,4,5,39,0.9824
24,sympy__sympy-15349,sympy/sympy,1,4,5,44,1.1192
25,sympy__sympy-15599,sympy/sympy,0,0,5,60,1.6029
26,sympy__sympy-15809,sympy/sympy,1,5,5,54,0.8567
27,sympy__sympy-15875,sympy/sympy,0,1,5,60,1.3673
28,sympy__sympy-15976,sympy/sympy,0,0,5,60,1.4406
29,sympy__sympy-16450,sympy/sympy,1,4,5,49,0.9159
30,sympy__sympy-16597,sympy/sympy,0,0,5,60,1.1218
31,sympy__sympy-16766,sympy/sympy,0,2,5,60,1.1215
32,sympy__sympy-16792,sympy/sympy,1,2,5,57,1.0999
33,sympy__sympy-16886,sympy/sympy,1,5,5,24,0.3572
34,sympy__sympy-17139,sympy/sympy,1,5,5,39,0.5124
35,sympy__sympy-17318,sympy/sympy,1,4,5,51,0.8993
36,sympy__sympy-17630,sympy/sympy,1,4,5,48,1.0466
37,sympy__sympy-17655,sympy/sympy,1,4,5,60,0.8955
38,sympy__sympy-18189,sympy/sympy,1,5,5,29,0.7293
39,sympy__sympy-18199,sympy/sympy,1,3,5,41,0.9941
