idx,task_id,task_type,pass1,passk,surprise,wrote,n_reasoning,n_fact
0,t0,logic,0,0,1.0,1,0,0
1,t1,logic,1,1,0.4,0,0,0
2,t2,fact,0,1,1.0,1,0,0
3,t3,logic,0,1,1.0,1,0,0
4,t4,logic,1,1,1.0,1,0,0
5,t5,logic,1,1,1.0,1,0,0
6,t6,logic,1,1,1.0,1,0,0
7,t7,fact,0,0,1.0,1,5,2
8,t8,logic,0,1,1.0,1,5,2
9,t9,logic,1,1,0.0,0,5,2
10,t10,logic,1,1,0.0,0,5,2
11,t11,fact,0,1,1.0,1,5,2
12,t12,fact,1,1,1.0,1,5,2
13,t13,logic,1,1,0.0,0,5,2
14,t14,logic,1,1,0.0,0,5,2
15,t15,logic,0,1,1.0,1,7,3
16,t16,fact,0,0,1.0,1,7,3
17,t17,logic,1,1,1.0,1,7,3
18,t18,logic,1,1,0.0,0,7,3
19,t19,logic,0,1,1.0,1,7,3
20,t20,logic,1,1,0.0,0,7,3
21,t21,logic,0,1,1.0,1,7,3
22,t22,logic,1,1,0.0,0,7,3
23,t23,fact,0,0,1.0,1,10,5
24,t24,fact,0,0,1.0,1,10,5
25,t25,fact,0,1,1.0,1,10,5
26,t26,fact,1,1,1.0,1,10,5
27,t27,fact,0,0,1.0,1,10,5
28,t28,logic,1,1,0.0,0,10,5
29,t29,fact,0,1,1.0,1,10,5
30,t30,fact,1,1,0.0,0,10,5
31,t31,logic,1,1,1.0,1,11,7
32,t32,fact,0,0,1.0,1,11,7
33,t33,logic,1,1,1.0,1,11,7
34,t34,logic,1,1,0.0,0,11,7
35,t35,logic,1,1,0.0,0,11,7
36,t36,logic,1,1,0.0,0,11,7
37,t37,fact,1,1,0.0,0,11,7
38,t38,fact,1,1,0.0,0,11,7
39,t39,fact,0,1,1.0,1,12,8
40,t40,logic,1,1,0.0,0,12,8
41,t41,fact,0,1,1.0,1,12,8
42,t42,logic,1,1,0.0,0,12,8
43,t43,fact,0,0,1.0,1,12,8
44,t44,fact,0,1,1.0,1,12,8
45,t45,fact,0,1,1.0,1,12,8
46,t46,logic,0,1,1.0,1,12,8
47,t47,logic,1,1,1.0,1,14,10
48,t48,logic,0,1,1.0,1,14,10
49,t49,logic,1,1,1.0,1,14,10
50,t50,logic,1,1,1.0,1,14,10
51,t51,fact,1,1,0.0,0,14,10
52,t52,logic,1,1,1.0,1,14,10
53,t53,fact,0,1,1.0,1,14,10
54,t54,fact,1,1,0.0,0,14,10
55,t55,logic,1,1,0.0,0,18,10
56,t56,logic,0,1,1.0,1,18,10
57,t57,logic,0,1,1.0,1,18,10
58,t58,fact,0,0,1.0,1,18,10
59,t59,fact,1,1,0.0,0,18,10
