idx,instance_id,repo,judge_success,nc,n,steps,cost
1,django__django-14011,django/django,1,1,1,115,0.723
2,django__django-14017,django/django,1,1,1,58,0.2637
3,django__django-14034,django/django,1,1,1,71,0.4456
4,django__django-14053,django/django,1,1,1,40,0.2018
5,django__django-14089,django/django,1,1,1,26,0.0864
6,django__django-14122,django/django,1,1,1,71,0.2874
7,django__django-14140,django/django,1,1,1,32,0.1182
8,django__django-14155,django/django,1,1,1,55,0.2235
9,django__django-14170,django/django,1,1,1,70,0.3968
10,django__django-14238,django/django,1,1,1,41,0.1641
11,django__django-14311,django/django,1,1,1,49,0.2108
12,django__django-14315,django/django,1,1,1,35,0.1352
13,django__django-14349,django/django,1,1,1,49,0.1782
14,django__django-14351,django/django,1,1,1,103,0.6391
15,django__django-14373,django/django,1,1,1,27,0.0814
16,django__django-14376,django/django,1,1,1,25,0.0557
17,django__django-14404,django/django,1,1,1,52,0.199
18,django__django-14434,django/django,1,1,1,48,0.1966
19,django__django-14493,django/django,1,1,1,43,0.1363
20,django__django-14500,django/django,1,1,1,79,0.3792
21,django__django-14534,django/django,1,1,1,92,0.4336
22,django__django-14539,django/django,1,1,1,48,0.3014
23,django__django-14559,django/django,1,1,1,45,0.2003
24,django__django-14580,django/django,1,1,1,51,0.1992
25,django__django-14608,django/django,1,1,1,67,0.3006
26,django__django-14631,django/django,1,1,1,102,0.4972
27,django__django-14672,django/django,1,1,1,47,0.1537
28,django__django-14725,django/django,1,1,1,60,0.2786
29,django__django-14752,django/django,1,1,1,37,0.1629
30,django__django-14765,django/django,1,1,1,57,0.1509
31,django__django-14771,django/django,1,1,1,47,0.1812
32,django__django-14787,django/django,1,1,1,36,0.1406
33,django__django-14792,django/django,1,1,1,73,0.3409
34,django__django-14855,django/django,1,1,1,53,0.1924
35,django__django-14915,django/django,1,1,1,32,0.1068
36,django__django-14999,django/django,1,1,1,50,0.2199
37,django__django-15022,django/django,1,1,1,70,0.4006
38,django__django-15037,django/django,1,1,1,74,0.4665
39,django__django-15098,django/django,1,1,1,80,0.3875
40,django__django-15103,django/django,1,1,1,40,0.1114
41,django__django-15104,django/django,1,1,1,26,0.0826
42,django__django-15127,django/django,1,1,1,36,0.1494
43,django__django-15128,django/django,0,0,1,94,0.5595
44,django__django-15161,django/django,1,1,1,71,0.2496
45,django__django-15252,django/django,1,1,1,98,0.6724
46,django__django-15268,django/django,1,1,1,91,0.4993
47,django__django-15277,django/django,1,1,1,42,0.1478
48,django__django-15278,django/django,1,1,1,49,0.1775
49,django__django-15280,django/django,0,0,1,94,0.7552
