idx,task_id,template_id,reward,judge,nc,n,steps
0,44,303,1,1,8,8,1
1,45,300,0,0,0,8,3
2,46,300,0,0,0,8,2
3,102,349,0,0,0,8,4
4,103,349,0,0,3,8,9
5,104,349,1,1,8,8,11
6,105,349,1,1,8,8,11
7,106,349,1,1,8,8,14
8,132,322,1,1,8,8,3
9,133,322,1,1,8,8,3
10,134,322,1,1,8,8,3
11,135,322,0,0,1,8,3
12,136,322,0,0,1,8,3
13,156,290,1,1,8,8,2
14,168,289,0,0,4,8,10
15,169,289,1,1,7,8,1
16,170,289,0,0,1,8,1
17,171,289,1,1,4,8,6
18,172,289,1,1,7,8,1
19,173,310,1,1,7,8,8
20,174,310,1,1,8,8,7
21,175,310,1,1,8,8,6
22,176,310,1,1,8,8,6
23,177,310,1,1,8,8,6
24,178,500,0,0,0,8,9
25,179,500,0,0,0,8,30
26,180,500,0,0,0,8,14
27,181,500,0,0,0,8,30
28,182,500,0,0,0,8,22
29,205,320,1,1,8,8,2
30,206,320,1,1,8,8,2
31,207,320,0,0,1,8,5
32,258,325,1,1,8,8,1
33,259,312,1,1,8,8,6
34,293,329,1,1,8,8,5
35,294,329,1,1,8,8,6
36,295,329,1,1,8,8,6
37,296,329,0,0,0,8,7
38,297,329,0,0,0,8,7
39,303,321,1,1,8,8,5
40,304,321,1,1,8,8,6
41,305,321,1,1,7,8,8
42,306,321,1,1,7,8,13
43,307,321,0,0,0,8,30
44,308,323,1,1,8,8,7
45,309,323,1,1,8,8,14
46,310,323,1,1,8,8,12
47,311,323,1,1,8,8,12
48,312,323,1,1,8,8,12
49,314,324,1,1,8,8,9
50,315,324,1,1,8,8,13
51,316,324,1,1,8,8,19
52,317,324,0,0,1,8,10
53,318,324,1,1,8,8,12
54,339,299,1,1,8,8,2
55,340,299,1,1,4,8,2
56,341,299,1,1,8,8,2
57,342,299,0,0,2,7,30
58,343,299,1,1,6,7,6
59,349,298,0,0,0,8,4
60,350,298,1,1,8,8,6
61,357,291,1,1,8,8,2
62,389,348,1,1,8,8,5
63,390,348,1,1,8,8,5
64,391,348,1,1,8,8,5
65,392,348,1,1,8,8,5
66,393,348,1,1,8,8,5
67,394,352,1,1,8,8,8
68,395,352,1,1,7,7,9
69,396,352,1,1,8,8,7
70,397,352,1,1,8,8,7
71,398,352,0,0,3,8,30
72,411,355,0,0,5,7,19
73,412,355,1,1,6,6,10
74,413,355,1,1,6,6,11
75,414,355,0,0,0,8,6
76,415,360,0,0,7,8,18
77,416,360,1,0,8,8,1
78,417,360,1,1,7,8,21
79,418,361,0,0,0,8,6
80,419,361,1,1,8,8,4
81,420,361,1,1,8,8,4
82,421,361,1,1,6,8,4
83,422,361,1,1,8,8,4
84,441,308,0,0,1,8,4
85,442,308,0,0,0,8,11
86,443,308,1,1,1,8,22
87,444,308,0,0,0,8,15
88,445,308,1,1,4,8,16
89,446,999,1,1,8,8,5
90,447,999,1,1,8,8,5
91,448,331,1,1,8,8,4
92,449,331,1,1,8,8,4
93,450,331,1,1,8,8,6
94,451,331,1,1,8,8,6
95,452,331,1,1,8,8,6
96,475,292,1,1,8,8,6
97,476,292,1,1,8,8,6
98,477,292,1,1,8,8,6
99,478,292,1,1,8,8,6
100,479,292,1,1,8,8,6
101,480,293,1,1,8,8,8
102,481,294,1,1,8,8,7
103,482,294,1,1,8,8,8
104,483,294,1,1,8,8,8
105,484,294,1,1,8,8,7
106,485,294,1,1,8,8,7
107,522,352,1,1,8,8,16
108,523,354,1,1,8,8,16
109,524,354,1,1,8,8,30
110,525,354,1,0,8,8,1
111,526,354,1,0,8,8,1
112,527,354,1,0,8,8,1
113,533,330,1,1,8,8,10
114,534,330,1,1,8,8,15
115,535,330,1,1,8,8,14
116,536,330,1,1,8,8,14
117,537,330,1,0,8,8,1
118,567,293,1,1,8,8,9
119,568,293,1,1,8,8,9
120,569,293,1,1,8,8,12
121,570,293,1,1,8,8,15
122,576,351,1,1,8,8,11
123,577,351,1,1,8,8,19
124,578,351,1,1,8,8,11
125,579,351,1,1,8,8,9
126,590,339,0,0,0,8,10
127,591,339,0,0,0,8,8
128,592,339,0,0,0,8,9
129,593,339,1,1,8,8,7
130,594,339,1,1,8,8,7
131,658,327,0,0,0,8,9
132,659,327,0,0,0,8,13
133,660,327,0,0,0,8,14
134,661,328,0,0,0,8,6
135,662,328,1,1,8,8,11
136,663,328,0,0,0,8,8
137,664,328,1,1,8,8,9
138,665,328,1,1,8,8,5
139,666,335,1,1,7,8,26
140,667,335,1,1,8,8,10
141,668,335,0,0,0,8,16
142,669,337,1,1,7,8,4
143,670,337,0,0,1,8,5
144,736,355,0,0,0,8,6
145,742,332,0,0,0,8,10
146,743,332,0,0,0,8,8
147,744,332,0,0,0,8,8
148,745,332,0,0,0,8,8
149,746,332,0,0,0,8,7
150,747,2100,1,1,8,8,13
151,748,2100,1,1,8,8,17
152,749,2100,1,1,8,8,19
153,750,2100,1,1,8,8,15
154,751,2100,1,1,8,8,17
155,752,332,0,0,1,8,10
156,753,332,1,1,8,8,10
157,754,332,1,1,8,8,10
158,755,332,1,1,8,8,9
159,756,332,1,1,8,8,9
160,783,351,1,0,8,8,4
161,784,316,1,1,7,8,10
162,785,316,1,1,8,8,13
163,786,316,0,0,0,8,9
164,787,316,1,1,5,8,7
165,788,316,1,1,8,8,6
166,789,328,1,0,6,8,1
167,799,600,1,1,8,8,17
168,800,600,1,1,8,8,21
169,801,600,1,1,8,8,19
170,802,600,1,1,8,8,13
171,803,600,1,1,8,8,13
172,804,999,0,0,0,8,30
173,805,335,0,0,0,8,8
174,806,335,1,1,8,8,11
175,807,335,1,1,8,8,11
176,808,327,1,1,8,8,7
177,809,327,1,1,8,8,7
178,810,999,1,1,3,8,5
179,811,999,0,0,0,8,4
