idx,task_id,template_id,reward,judge,nc,n,steps
0,44,303,1,1,8,8,1
1,45,300,0,0,0,8,2
2,46,300,0,0,0,8,2
3,102,349,0,0,0,8,4
4,103,349,0,0,1,8,8
5,104,349,1,1,7,8,16
6,105,349,1,1,8,8,13
7,106,349,1,1,8,8,12
8,132,322,1,1,8,8,3
9,133,322,1,1,8,8,3
10,134,322,1,1,8,8,7
11,135,322,0,0,1,8,3
12,136,322,0,0,2,8,3
13,156,290,1,1,8,8,2
14,168,289,0,0,2,8,1
15,169,289,1,1,6,8,1
16,170,289,0,0,3,8,1
17,171,289,1,1,5,8,1
18,172,289,1,1,3,8,1
19,173,310,1,1,8,8,8
20,174,310,1,1,8,8,4
21,175,310,1,1,8,8,6
22,176,310,1,1,8,8,6
23,177,310,1,1,7,8,6
24,178,500,0,0,0,8,5
25,179,500,0,0,0,8,20
26,180,500,0,0,0,8,28
27,181,500,0,0,0,8,30
28,182,500,0,0,0,8,20
29,205,320,1,1,8,8,2
30,206,320,1,1,8,8,2
31,207,320,0,0,1,8,5
32,258,325,1,1,8,8,1
33,259,312,1,1,8,8,7
34,293,329,1,1,8,8,6
35,294,329,1,1,8,8,6
36,295,329,1,1,8,8,5
37,296,329,0,0,0,8,6
38,297,329,0,0,0,8,7
39,303,321,1,1,8,8,6
40,304,321,1,1,8,8,5
41,305,321,1,1,8,8,6
42,306,321,1,1,8,8,20
43,307,321,0,0,0,8,21
44,308,323,1,1,8,8,9
45,309,323,1,1,8,8,13
46,310,323,1,1,8,8,6
47,311,323,1,1,8,8,13
48,312,323,1,1,8,8,11
49,314,324,1,1,8,8,10
50,315,324,1,1,8,8,6
51,316,324,1,1,7,8,7
52,317,324,0,0,1,8,12
53,318,324,1,1,8,8,11
54,339,299,1,1,8,8,2
55,340,299,1,1,7,8,2
56,341,299,1,0,8,8,2
57,342,299,0,0,0,6,26
58,343,299,1,1,6,8,11
59,349,298,0,0,3,8,4
60,350,298,1,1,8,8,5
61,357,291,1,1,8,8,2
62,784,316,0,0,5,8,12
63,785,316,1,1,8,8,5
64,786,316,0,0,0,8,7
65,787,316,0,0,5,8,30
66,788,316,1,1,7,8,5
