idx,task_id,template_id,reward,judge,nc,n,steps
0,7,79,0,0,0,8,15
1,8,79,1,1,8,8,11
2,9,79,0,0,0,8,1
3,10,79,0,0,0,8,12
4,16,73,1,1,6,8,7
5,17,73,1,1,8,8,6
6,18,73,0,0,2,8,7
7,19,73,1,1,8,8,6
8,20,73,0,0,0,8,6
9,32,78,0,0,0,8,30
10,33,78,0,0,1,8,30
11,34,78,0,0,1,8,30
12,35,78,0,0,1,8,30
13,36,77,1,1,7,8,5
14,37,77,0,0,6,8,30
15,38,77,1,1,7,7,5
16,39,77,1,1,7,7,6
17,40,77,0,0,2,7,0
18,52,68,0,0,7,7,0
19,53,68,0,0,7,7,0
20,54,68,1,1,8,8,6
21,55,68,0,0,5,8,7
22,56,68,1,1,8,8,10
23,57,69,0,0,0,8,28
24,58,69,0,0,1,8,30
25,59,69,0,0,1,8,30
26,60,69,0,0,1,8,17
27,61,69,0,0,3,8,30
28,70,70,1,1,8,8,3
29,71,70,0,0,0,8,3
30,72,70,0,0,3,8,4
31,73,70,1,1,8,8,3
32,74,65,0,0,0,8,19
33,75,65,1,1,8,8,13
34,76,65,0,0,0,8,13
35,80,72,1,1,8,8,10
36,81,72,1,1,8,8,10
37,82,72,1,1,2,8,10
38,83,72,1,1,5,8,14
39,84,64,1,1,8,8,5
40,85,64,1,1,8,8,13
41,86,64,1,1,6,8,5
42,87,64,0,0,3,8,10
43,88,64,1,1,8,8,5
44,89,67,1,1,8,8,25
45,90,67,1,0,6,8,15
46,91,67,1,0,5,6,6
47,92,67,0,0,5,5,0
49,98,66,0,0,0,6,0
50,99,66,0,0,0,8,27
51,100,66,0,0,4,8,21
52,101,66,1,0,8,8,1
53,137,51,1,1,8,8,6
54,138,51,0,0,1,8,8
55,139,51,0,0,1,8,5
56,140,51,0,0,0,8,6
57,151,36,1,1,8,8,7
58,152,36,1,1,8,8,5
59,153,36,0,0,1,8,7
60,154,36,1,1,8,8,11
61,155,36,1,1,8,8,5
62,218,41,1,0,8,8,1
63,219,41,0,0,0,8,30
64,220,41,0,0,0,8,22
65,221,35,0,0,0,8,13
66,222,35,1,1,8,8,5
67,223,35,1,1,6,8,6
68,224,35,1,1,8,8,23
69,236,39,0,0,0,8,14
70,237,39,0,0,1,8,12
71,248,46,1,1,8,8,4
72,249,46,0,0,0,8,16
73,250,46,1,1,8,8,6
74,251,46,0,0,3,8,22
75,252,46,1,1,8,8,5
76,253,501,1,0,8,8,1
77,254,501,0,0,0,8,4
78,255,501,1,1,8,8,6
79,256,501,1,1,8,8,4
80,257,501,1,1,8,8,4
81,287,47,1,1,4,8,9
82,356,49,1,1,5,8,10
83,363,58,0,0,0,8,8
84,364,58,1,1,7,8,7
85,365,58,1,1,7,8,6
86,366,58,1,1,7,8,12
87,367,58,0,0,0,8,30
88,369,52,1,1,8,8,2
89,370,52,1,0,8,8,2
90,371,52,1,1,8,8,4
91,372,52,1,0,8,8,2
92,373,52,1,1,8,8,4
93,377,59,0,0,4,8,30
94,378,59,0,0,0,8,20
95,379,59,0,0,0,6,17
96,380,59,0,0,0,6,0
97,381,59,0,0,0,6,0
98,382,781,0,0,6,6,0
99,383,782,0,0,0,6,0
100,757,42,1,1,4,8,4
101,758,42,1,1,8,8,5
102,761,54,1,1,8,8,13
103,762,54,0,0,0,8,13
104,763,75,1,1,8,8,7
105,764,75,0,0,7,7,4
106,765,75,1,1,8,8,7
107,766,75,1,1,8,8,8
108,767,75,0,0,7,8,30
