idx,task_id,template_id,reward,judge,nc,n,steps
0,7,79,0,0,0,8,13
1,8,79,1,1,7,8,9
2,9,79,0,0,0,8,7
3,10,79,0,0,0,8,19
4,16,73,1,1,7,8,7
5,17,73,1,1,7,8,11
6,18,73,1,1,7,8,7
7,19,73,0,0,3,8,6
8,20,73,0,0,1,8,7
9,32,78,0,0,0,8,20
10,33,78,0,0,0,8,23
11,34,78,0,0,0,8,30
12,35,78,0,0,3,8,30
13,36,77,0,0,1,8,30
14,37,77,0,0,6,8,30
15,38,77,1,1,8,8,9
16,39,77,1,1,8,8,6
17,40,77,0,0,4,8,30
18,52,68,1,1,8,8,7
19,53,68,1,1,8,8,9
20,54,68,1,1,8,8,8
21,55,68,1,1,6,8,8
22,56,68,1,1,8,8,12
23,57,69,0,0,0,8,16
24,58,69,0,0,0,8,22
25,59,69,1,0,3,8,18
26,60,69,1,0,5,8,17
27,61,69,0,0,2,8,30
28,70,70,1,1,8,8,3
29,71,70,0,0,1,8,3
30,72,70,0,0,0,8,6
31,73,70,1,1,8,8,3
32,74,65,1,1,6,8,16
33,75,65,1,1,8,8,14
34,76,65,0,0,0,8,13
35,80,72,1,1,2,8,17
36,81,72,0,0,3,8,13
37,82,72,1,1,6,8,10
38,83,72,1,1,8,8,12
39,84,64,1,1,8,8,7
40,85,64,1,1,4,8,17
41,86,64,0,0,2,8,30
42,87,64,0,0,5,8,10
43,88,64,1,1,7,8,11
44,89,67,1,1,7,8,28
45,90,67,0,0,6,8,14
46,91,67,1,0,4,6,7
47,92,67,0,0,1,5,0
50,99,66,1,1,2,8,26
51,100,66,0,0,0,8,12
52,101,66,1,0,8,8,1
53,137,51,1,1,7,8,13
54,138,51,0,0,6,8,13
55,139,51,0,0,1,8,10
56,140,51,0,0,0,8,10
57,151,36,1,1,7,8,16
58,152,36,1,1,7,8,14
59,153,36,1,1,5,8,21
60,154,36,1,1,4,8,15
61,155,36,1,1,8,8,11
62,218,41,1,0,8,8,7
63,219,41,0,0,4,8,19
64,220,41,0,0,0,8,28
65,221,35,0,0,0,8,29
66,222,35,1,1,3,8,25
67,223,35,1,1,7,8,22
68,224,35,1,1,8,8,11
69,236,39,0,0,0,8,8
70,237,39,1,1,2,8,29
71,248,46,1,1,8,8,4
72,249,46,1,1,3,8,17
73,250,46,1,1,7,8,6
74,251,46,1,1,6,8,11
75,252,46,1,1,8,8,5
76,253,501,1,0,8,8,1
77,254,501,0,0,0,8,4
78,255,501,1,1,8,8,6
79,256,501,1,1,8,8,4
80,257,501,1,1,8,8,4
81,287,47,0,0,4,8,11
82,356,49,1,1,7,8,14
83,363,58,0,0,0,8,8
84,364,58,1,1,8,8,7
85,365,58,1,1,8,8,7
86,366,58,1,1,8,8,27
87,367,58,1,1,4,8,19
88,369,52,1,1,8,8,2
89,370,52,1,0,8,8,2
90,371,52,1,1,8,8,4
91,372,52,1,1,8,8,6
92,373,52,1,1,8,8,4
93,377,59,0,0,3,8,30
94,378,59,0,0,0,8,12
95,379,59,0,0,0,5,16
96,380,59,0,0,0,5,0
97,381,59,0,0,0,5,0
98,382,781,0,0,5,5,0
99,383,782,0,0,1,5,0
100,757,42,1,1,7,8,30
101,758,42,1,1,8,8,9
102,761,54,1,0,8,8,13
103,762,54,0,0,0,8,5
104,763,75,1,1,8,8,9
105,764,75,1,1,8,8,10
106,765,75,1,1,8,8,11
107,766,75,1,1,8,8,5
108,767,75,1,1,6,8,11
