idx,task_id,template_id,reward,judge,nc,n,steps
0,0,279,1,1,8,8,7
1,1,279,1,1,5,8,6
2,2,279,0,0,0,8,8
3,3,279,1,1,8,8,7
4,4,279,1,1,8,8,7
5,5,279,1,1,2,8,16
6,6,279,1,1,1,8,7
7,11,288,1,1,8,8,5
8,12,288,1,1,8,8,5
9,13,288,1,1,8,8,5
10,14,288,1,1,8,8,5
11,15,288,1,1,8,8,5
12,41,285,1,1,8,8,1
13,42,285,1,1,8,8,1
14,43,285,1,1,8,8,1
15,62,276,1,1,6,8,8
16,63,276,0,0,2,8,7
17,64,276,0,0,0,8,7
18,65,276,0,0,7,8,7
19,77,277,1,1,8,8,3
20,78,277,1,1,8,8,5
21,79,277,1,1,8,8,5
22,94,274,1,1,8,8,3
23,95,274,1,1,8,8,4
24,107,270,0,0,0,8,9
25,108,270,0,0,0,8,10
26,109,270,0,0,0,8,9
27,110,270,0,0,0,8,9
28,111,270,0,0,0,8,9
29,112,245,0,0,2,8,7
30,113,245,0,0,3,8,8
31,114,245,1,1,8,8,9
32,115,245,1,0,8,8,1
33,116,245,0,0,1,7,29
34,119,250,0,0,0,8,11
35,120,250,0,0,4,8,10
36,121,250,1,1,6,8,8
37,122,250,0,0,1,8,10
38,123,250,1,1,6,8,7
39,127,1001,0,0,0,8,1
40,128,1002,1,1,8,8,1
41,129,1002,1,1,8,8,1
42,130,1002,1,1,8,8,1
43,131,1002,1,1,8,8,17
44,157,255,1,1,8,8,2
45,183,368,0,0,6,8,30
46,184,368,0,0,0,8,7
47,185,368,0,0,3,7,2
48,186,368,0,0,0,8,7
49,187,368,1,1,8,8,6
50,193,367,1,1,7,8,6
51,194,367,1,1,8,8,3
52,195,367,1,1,8,8,3
53,196,367,1,1,8,8,3
54,197,367,1,1,8,8,3
55,198,366,1,1,8,8,3
56,199,366,1,1,8,8,3
57,200,366,1,1,8,8,4
58,201,366,0,0,7,8,30
59,202,366,1,1,7,8,4
60,203,366,1,1,7,8,3
61,204,366,0,0,0,8,4
62,208,364,1,1,8,8,6
63,209,364,1,1,8,8,3
64,210,364,1,1,8,8,3
65,211,364,1,1,8,8,3
66,212,364,1,1,8,8,3
67,213,249,0,0,5,8,10
68,214,249,0,0,0,8,8
69,215,249,0,0,2,7,5
70,216,249,1,1,8,8,9
71,217,249,1,1,8,8,9
72,243,244,1,1,8,8,10
73,244,244,1,1,8,8,10
74,245,244,1,1,8,8,9
75,246,244,1,1,8,8,8
76,247,244,0,0,2,8,30
77,288,234,1,1,8,8,7
78,289,234,0,0,1,8,4
79,290,234,1,1,8,8,4
80,291,234,1,1,8,8,4
81,292,234,1,1,8,8,3
82,344,248,1,1,8,8,3
83,345,248,0,0,3,8,4
84,346,248,1,1,8,8,6
85,347,248,1,1,7,8,3
86,348,248,1,1,8,8,9
87,374,266,1,1,8,8,3
88,375,266,0,0,0,8,5
89,676,253,1,1,8,8,5
90,677,253,1,1,8,8,5
91,678,253,0,0,4,4,4
92,679,253,0,0,0,5,4
93,680,253,1,1,8,8,5
94,699,258,0,0,0,8,11
95,700,258,0,0,0,8,13
96,701,258,0,0,0,8,15
97,702,258,0,0,0,8,15
98,703,258,0,0,0,8,5
99,704,268,1,1,8,8,5
100,705,268,0,0,1,8,6
101,706,268,1,1,4,8,5
102,707,268,0,0,2,8,7
103,708,268,0,0,0,8,6
104,709,271,1,1,3,8,4
105,710,271,1,1,8,8,5
106,711,271,1,1,8,8,5
107,712,271,1,1,8,8,5
108,713,271,0,0,7,7,0
