idx,task_id,template_id,reward,judge,nc,n,steps
0,21,222,0,0,0,8,4
1,22,222,1,0,8,8,1
2,23,222,1,1,8,8,3
3,24,222,1,1,6,8,1
4,25,222,0,0,0,8,3
5,26,222,1,1,8,8,3
6,47,197,1,1,8,8,4
7,48,197,1,1,8,8,4
8,49,197,0,0,1,8,4
9,50,197,0,0,0,8,4
10,51,197,0,0,0,8,4
11,96,193,0,0,7,8,3
12,117,161,1,1,8,8,4
13,118,151,0,0,2,8,4
14,124,159,0,0,0,8,5
15,125,159,0,0,0,8,7
16,126,159,1,1,5,8,14
17,141,162,0,0,0,8,7
18,142,162,0,0,0,8,7
19,143,162,0,0,0,8,5
20,144,162,0,0,0,8,8
21,145,162,1,1,8,8,5
22,146,155,0,0,0,8,8
23,147,155,0,0,0,8,30
24,148,155,1,1,7,8,8
25,149,155,0,0,7,8,8
26,150,155,1,1,8,8,5
27,158,171,1,1,4,8,3
28,159,171,1,1,3,8,14
29,160,171,0,0,2,8,13
30,161,171,0,0,4,8,20
31,162,171,1,1,6,8,24
32,163,136,0,0,0,8,24
33,164,136,0,0,6,8,2
34,165,136,0,0,0,8,2
35,166,136,1,0,7,8,1
36,167,136,0,0,0,8,2
37,188,214,1,1,8,8,3
38,189,214,0,0,7,8,2
39,190,214,1,1,8,8,3
40,191,214,0,0,7,8,5
41,192,214,0,0,7,8,2
42,225,135,1,1,8,8,3
43,226,370,0,0,0,8,5
44,227,370,1,1,8,8,3
45,228,370,0,0,2,8,3
46,229,370,1,1,8,8,4
47,230,370,1,1,8,8,6
48,231,213,1,1,8,8,4
49,232,213,0,0,7,8,2
50,233,213,1,1,8,8,4
51,234,213,1,0,3,8,1
52,235,213,1,1,7,8,3
53,238,138,0,0,0,8,6
54,239,138,0,0,0,8,10
55,240,138,0,0,1,8,14
56,241,138,0,0,0,8,7
57,242,138,0,0,0,8,6
58,260,211,1,1,8,8,2
59,261,211,1,1,8,8,2
60,262,211,1,1,8,8,3
61,263,211,1,1,8,8,3
62,264,211,1,1,8,8,3
63,269,139,0,0,7,8,14
64,270,139,0,0,6,8,30
65,271,139,0,0,1,8,30
66,272,139,0,0,4,8,10
67,273,139,0,0,0,8,6
68,274,212,1,1,8,8,2
69,275,212,1,1,8,8,2
70,276,212,1,1,8,8,2
71,277,212,0,0,0,8,3
72,278,212,1,1,8,8,2
73,279,204,0,0,0,8,30
74,280,204,0,0,0,8,5
75,281,204,0,0,0,8,13
76,282,204,0,0,0,8,9
77,283,210,1,1,6,8,6
78,284,207,1,1,7,8,9
79,285,207,0,0,2,8,8
80,286,207,0,0,0,8,13
81,298,180,1,1,8,8,3
82,299,180,1,1,8,8,4
83,300,180,0,0,7,8,4
84,301,180,0,0,3,8,8
85,302,180,1,1,4,8,18
86,313,134,1,1,6,8,12
87,319,160,0,0,0,8,7
88,320,160,1,1,8,8,6
89,321,160,0,0,0,8,6
90,322,160,1,1,8,8,3
91,323,160,0,0,0,8,9
92,324,208,1,1,8,8,4
93,325,208,0,0,0,8,4
94,326,208,1,1,8,8,2
95,327,208,0,0,0,8,10
96,328,208,0,0,0,8,4
97,329,147,0,0,0,8,16
98,330,147,0,0,0,8,3
99,331,147,1,1,8,8,4
100,332,147,0,0,0,8,4
101,333,147,0,0,0,8,11
102,334,169,1,1,8,8,14
103,335,169,0,0,7,8,30
104,336,169,1,1,7,8,29
105,337,169,0,0,0,8,30
106,338,169,0,0,0,8,30
107,351,137,1,1,8,8,4
108,352,137,1,1,8,8,6
109,353,137,1,1,7,8,8
110,354,137,1,1,8,8,5
111,355,137,1,1,8,8,5
112,358,206,1,1,8,8,3
113,359,206,1,1,8,8,4
114,360,206,0,0,0,8,5
115,361,206,0,0,0,8,2
116,362,206,1,1,7,8,5
117,368,188,1,1,6,8,1
118,376,182,1,1,8,8,8
119,384,666,0,0,0,8,3
120,385,666,1,1,7,8,7
121,386,1355,0,0,0,8,4
122,387,1356,1,1,8,8,7
123,388,1356,1,1,8,8,11
124,528,154,0,0,3,8,8
125,529,154,0,0,0,8,7
126,530,154,1,1,4,8,5
127,531,154,0,0,1,8,8
128,532,154,0,0,2,8,28
129,653,153,0,0,0,8,6
130,654,153,0,0,0,8,6
131,655,153,0,0,0,8,6
132,656,153,0,0,0,8,6
133,657,153,0,0,0,8,7
134,689,163,0,0,0,8,3
135,690,163,1,1,8,8,2
136,691,163,1,1,8,8,2
137,692,163,1,1,8,8,2
138,693,163,1,1,8,8,2
