idx,task_id,template_id,reward,judge,nc,n,steps
0,21,222,0,0,0,8,4
1,22,222,1,0,8,8,1
2,23,222,1,1,8,8,4
3,24,222,1,1,7,8,1
4,25,222,0,0,0,8,3
5,26,222,1,1,8,8,3
6,47,197,1,1,8,8,4
7,48,197,1,1,8,8,4
8,49,197,0,0,0,8,4
9,50,197,0,0,0,8,4
10,51,197,0,0,0,8,4
11,96,193,0,0,7,8,3
12,117,161,1,1,8,8,4
13,118,151,0,0,4,8,4
14,124,159,0,0,0,8,5
15,125,159,0,0,0,8,30
16,126,159,1,1,7,8,17
21,145,162,1,1,8,8,5
22,146,155,0,0,0,8,5
23,147,155,0,0,0,8,30
24,148,155,1,1,8,8,11
25,149,155,1,1,8,8,8
26,150,155,1,1,8,8,5
27,158,171,1,1,5,8,3
28,159,171,0,0,5,8,19
29,160,171,0,0,6,8,22
30,161,171,1,1,8,8,10
31,162,171,0,0,6,8,9
32,163,136,0,0,0,8,30
33,164,136,1,1,8,8,2
34,165,136,0,0,0,8,2
35,166,136,0,0,4,8,2
36,167,136,0,0,0,8,2
37,188,214,1,1,8,8,4
38,189,214,0,0,7,8,4
39,190,214,1,1,8,8,4
40,191,214,1,0,7,8,2
41,192,214,0,0,7,8,4
42,225,135,1,1,8,8,5
43,226,370,0,0,2,8,5
44,227,370,1,1,8,8,3
45,228,370,1,1,7,8,4
46,229,370,1,1,8,8,4
47,230,370,1,1,8,8,6
48,231,213,1,1,8,8,4
49,232,213,0,0,7,8,4
50,233,213,1,1,8,8,3
51,234,213,1,0,8,8,1
52,235,213,1,1,8,8,4
53,238,138,0,0,0,8,6
54,239,138,0,0,0,8,8
55,240,138,0,0,1,8,7
56,241,138,0,0,0,8,7
57,242,138,0,0,0,8,6
58,260,211,1,1,8,8,1
59,261,211,1,1,8,8,3
60,262,211,1,1,8,8,3
61,263,211,1,1,8,8,3
62,264,211,1,1,8,8,3
63,269,139,1,1,8,8,10
64,270,139,0,0,7,8,8
65,271,139,0,0,2,8,27
66,272,139,1,1,8,8,10
67,273,139,1,1,8,8,6
68,274,212,1,1,8,8,2
69,275,212,1,1,8,8,2
70,276,212,1,1,8,8,2
71,277,212,0,0,0,8,3
72,278,212,1,1,8,8,2
73,279,204,0,0,1,8,23
74,280,204,0,0,0,8,5
75,281,204,0,0,0,8,6
87,319,160,0,0,0,8,30
88,320,160,1,1,1,8,7
