idx,task_id,template_id,reward,judge,nc,n,steps
0,132,322,1,0,1,1,3
1,133,322,1,0,1,1,3
2,134,322,1,0,1,1,3
3,135,322,0,0,0,1,3
4,136,322,0,0,0,1,3
5,168,289,0,0,0,1,1
6,169,289,1,0,1,1,1
7,170,289,1,0,1,1,1
8,171,289,1,0,1,1,1
9,172,289,1,0,1,1,1
10,205,320,1,0,1,1,2
11,206,320,1,0,1,1,2
12,207,320,0,0,0,1,2
13,259,312,1,0,1,1,6
14,293,329,0,0,0,1,9
15,294,329,0,0,0,1,11
16,295,329,0,0,0,1,7
17,296,329,0,0,0,1,6
18,297,329,0,0,0,1,7
19,303,321,1,0,1,1,2
20,304,321,1,0,1,1,2
21,305,321,1,0,1,1,2
22,306,321,0,0,0,1,19
23,307,321,0,0,0,1,6
24,308,323,1,0,1,1,9
25,309,323,0,0,0,1,4
26,310,323,1,0,1,1,11
27,311,323,1,0,1,1,12
28,312,323,1,0,1,1,11
29,314,324,1,0,1,1,10
30,315,324,1,0,1,1,14
31,316,324,1,0,1,1,14
32,317,324,0,0,0,1,13
33,318,324,1,0,1,1,7
34,349,298,0,0,0,1,5
35,350,298,1,0,1,1,10
36,783,351,1,0,1,1,1
37,784,316,1,0,1,1,14
38,785,316,1,0,1,1,14
39,786,316,0,0,0,1,9
40,787,316,1,0,1,1,7
41,788,316,0,0,0,1,7
42,789,328,1,0,1,1,1
