idx,task_id,template_id,reward,judge,nc,n,steps
0,0,279,1,0,10,10,7
1,1,279,1,0,9,10,6
2,2,279,0,0,0,10,7
3,3,279,0,0,1,10,7
4,4,279,1,0,10,10,7
5,5,279,0,0,0,10,7
6,6,279,0,0,1,10,7
7,11,288,1,1,10,10,5
8,12,288,1,1,10,10,5
9,13,288,1,1,10,10,5
10,14,288,1,1,10,10,5
11,15,288,1,1,10,10,5
12,41,285,1,0,10,10,1
13,42,285,1,0,10,10,1
14,43,285,1,1,10,10,1
15,62,276,1,0,8,10,8
16,63,276,0,0,1,10,15
17,64,276,0,0,0,10,8
18,65,276,0,0,6,10,23
19,77,277,1,1,10,10,3
20,78,277,1,1,10,10,5
21,79,277,1,1,10,10,5
22,94,274,1,0,10,10,3
23,95,274,1,0,10,10,3
24,107,270,0,0,0,10,9
25,108,270,0,0,0,10,7
26,109,270,0,0,0,10,10
27,110,270,0,0,0,10,9
28,111,270,0,0,0,10,9
29,112,245,0,0,0,10,7
30,113,245,0,0,1,10,5
31,114,245,1,0,10,10,5
32,115,245,1,0,10,10,1
33,116,245,1,0,7,10,7
34,119,250,0,0,0,10,9
35,120,250,1,0,4,10,10
36,121,250,1,0,9,10,13
37,122,250,1,0,5,10,12
38,123,250,1,0,10,10,8
39,127,1001,0,0,0,10,3
