idx,task_id,template_id,reward,judge,nc,n,steps
0,21,222,0,0,0,1,4
1,22,222,1,0,1,1,1
2,23,222,1,0,1,1,3
3,24,222,0,0,0,1,2
4,25,222,0,0,0,1,3
5,26,222,1,0,1,1,3
6,47,197,1,0,1,1,4
7,48,197,1,0,1,1,4
8,49,197,0,0,0,1,4
9,50,197,0,0,0,1,4
10,51,197,0,0,0,1,4
11,96,193,1,1,1,1,3
12,117,161,1,0,1,1,4
13,124,159,0,0,0,1,5
14,125,159,0,0,0,1,7
15,126,159,1,0,1,1,13
16,141,162,0,0,0,1,6
17,142,162,0,0,0,1,8
18,143,162,0,0,0,1,5
19,144,162,0,0,0,1,8
20,145,162,1,0,1,1,5
21,146,155,0,0,0,1,11
22,147,155,0,0,0,1,30
23,148,155,1,0,1,1,7
24,149,155,1,0,1,1,6
25,150,155,1,0,1,1,5
26,163,136,0,0,0,1,4
27,164,136,1,0,1,1,2
28,165,136,0,0,0,1,2
29,166,136,1,0,1,1,1
30,167,136,0,0,0,1,2
31,188,214,1,0,1,1,4
32,189,214,1,0,1,1,3
33,190,214,1,0,1,1,2
34,191,214,0,0,0,1,4
35,192,214,1,0,1,1,3
36,225,135,1,0,1,1,1
37,226,370,0,0,0,1,9
38,227,370,1,0,1,1,3
39,228,370,0,0,0,1,3
40,229,370,1,0,1,1,5
41,230,370,1,0,1,1,6
42,231,213,1,0,1,1,4
43,232,213,1,0,1,1,2
44,233,213,1,0,1,1,3
45,234,213,1,0,1,1,1
46,235,213,1,0,1,1,1
47,279,204,0,0,0,1,30
48,280,204,0,0,0,1,7
49,281,204,0,0,0,1,11
50,282,204,0,0,0,1,21
51,301,180,1,0,1,1,6
52,302,180,1,0,1,1,4
53,313,134,0,0,0,1,10
54,319,160,0,0,0,1,5
55,320,160,1,0,1,1,6
56,321,160,0,0,0,1,7
57,322,160,1,0,1,1,3
58,323,160,0,0,0,1,7
59,329,147,0,0,0,1,4
60,330,147,0,0,0,1,3
61,331,147,1,0,1,1,4
62,332,147,0,0,0,1,4
63,333,147,0,0,0,1,5
64,334,169,1,0,1,1,12
65,335,169,1,0,1,1,27
66,336,169,1,0,1,1,28
67,337,169,0,0,0,1,30
68,338,169,0,0,0,1,30
69,358,206,1,0,1,1,3
70,359,206,1,0,1,1,4
71,360,206,0,0,0,1,5
72,361,206,0,0,0,1,2
73,362,206,1,0,1,1,5
74,368,188,1,0,1,1,1
75,376,182,1,0,1,1,5
76,384,666,1,0,1,1,17
77,385,666,1,0,1,1,9
78,386,1355,0,0,0,1,4
79,387,1356,1,0,1,1,6
80,388,1356,1,0,1,1,6
81,792,172,1,0,1,1,1
82,793,172,0,0,0,1,22
83,794,191,1,0,1,1,3
84,795,191,1,0,1,1,1
85,796,191,1,0,1,1,1
86,797,191,1,0,1,1,1
87,798,191,1,0,1,1,1
