idx,task_id,template_id,reward,judge,nc,n,steps
0,21,222,0,0,0,8,4
1,22,222,1,0,8,8,1
2,23,222,1,1,8,8,3
3,24,222,1,1,7,8,1
4,25,222,0,0,0,8,3
5,26,222,1,1,8,8,3
6,47,197,1,1,8,8,4
7,48,197,1,1,8,8,4
8,49,197,0,0,0,8,4
9,50,197,0,0,0,8,4
10,51,197,0,0,0,8,4
11,96,193,1,1,8,8,3
12,117,161,1,1,8,8,4
13,124,159,0,0,0,8,5
14,125,159,0,0,0,8,8
15,126,159,1,1,8,8,24
16,141,162,0,0,0,8,6
17,142,162,0,0,0,8,8
18,143,162,0,0,6,8,5
19,144,162,0,0,0,8,8
20,145,162,1,1,8,8,5
21,146,155,0,0,0,8,8
22,147,155,0,0,1,8,30
23,148,155,1,1,8,8,8
24,149,155,1,1,8,8,6
25,150,155,1,1,7,8,5
26,163,136,0,0,0,8,12
27,164,136,1,1,7,8,2
28,165,136,0,0,0,8,2
29,166,136,1,0,8,8,1
30,167,136,0,0,0,8,2
31,188,214,1,1,8,8,3
32,189,214,1,1,8,8,2
33,190,214,1,1,8,8,3
34,191,214,1,0,4,8,1
35,192,214,1,1,8,8,3
36,225,135,1,0,8,8,1
37,226,370,1,1,6,8,11
38,227,370,1,1,8,8,3
39,228,370,1,1,8,8,4
40,229,370,1,1,8,8,6
41,230,370,1,1,8,8,4
42,231,213,1,1,8,8,3
43,232,213,1,1,8,8,4
44,233,213,1,1,8,8,4
45,234,213,1,0,8,8,2
46,235,213,1,0,8,8,1
47,279,204,0,0,0,8,23
48,280,204,0,0,0,8,8
49,281,204,0,0,0,8,4
50,282,204,0,0,0,8,8
51,301,180,1,1,8,8,4
52,302,180,0,0,4,8,30
53,313,134,1,1,8,8,2
54,319,160,0,0,0,8,5
55,320,160,1,1,8,8,7
56,321,160,0,0,0,8,17
57,322,160,1,1,8,8,3
58,323,160,0,0,0,8,7
59,329,147,0,0,1,8,4
60,330,147,0,0,0,8,4
61,331,147,0,0,0,8,5
62,332,147,0,0,0,8,16
63,333,147,0,0,0,8,11
64,334,169,1,1,8,8,13
65,335,169,1,1,7,8,27
66,336,169,1,1,2,8,27
67,337,169,0,0,0,8,30
68,338,169,0,0,0,8,30
69,358,206,1,1,8,8,3
70,359,206,1,1,8,8,4
71,360,206,0,0,0,8,5
72,361,206,0,0,0,8,2
73,362,206,1,1,6,8,5
74,368,188,0,0,6,8,1
75,376,182,1,1,8,8,10
76,384,666,1,1,8,8,11
77,385,666,1,1,8,8,7
78,386,1355,0,0,0,8,3
79,387,1356,1,1,8,8,7
80,388,1356,1,1,8,8,6
81,792,172,1,0,8,8,1
82,793,172,0,0,1,8,5
83,794,191,1,0,8,8,1
84,795,191,1,0,8,8,1
85,796,191,1,0,8,8,1
86,797,191,1,0,8,8,1
87,798,191,1,1,8,8,6
