idx,task_id,template_id,reward,judge,nc,n,steps
0,0,279,1,0,1,1,7
1,1,279,1,0,1,1,19
2,2,279,0,0,0,1,7
3,3,279,1,0,1,1,7
4,4,279,1,0,1,1,7
5,5,279,0,0,0,1,7
6,6,279,1,0,1,1,7
7,11,288,1,1,1,1,5
8,12,288,1,1,1,1,5
9,13,288,1,1,1,1,5
10,14,288,1,1,1,1,5
11,15,288,1,1,1,1,5
12,41,285,1,0,1,1,1
13,42,285,1,0,1,1,1
14,43,285,1,0,1,1,1
15,62,276,1,0,1,1,8
16,63,276,0,0,0,1,7
17,64,276,0,0,0,1,20
18,65,276,0,0,0,1,18
19,77,277,1,1,1,1,3
20,78,277,1,1,1,1,5
21,79,277,1,1,1,1,5
22,94,274,1,0,1,1,3
23,95,274,1,0,1,1,3
24,107,270,0,0,0,1,7
25,108,270,0,0,0,1,9
26,109,270,0,0,0,1,11
27,110,270,0,0,0,1,10
28,111,270,0,0,0,1,15
29,112,245,0,0,0,1,7
30,113,245,1,0,1,1,8
31,114,245,1,0,1,1,9
32,115,245,1,0,1,1,1
33,116,245,0,0,0,1,30
34,119,250,0,0,0,1,10
35,120,250,1,0,1,1,11
36,121,250,1,0,1,1,7
37,122,250,1,0,1,1,16
38,123,250,1,0,1,1,8
39,127,1001,0,0,0,1,3
40,128,1002,1,0,1,1,1
41,129,1002,1,0,1,1,1
42,130,1002,1,0,1,1,1
43,131,1002,1,0,1,1,19
44,183,368,1,0,1,1,7
45,184,368,0,0,0,1,30
46,185,368,0,0,0,1,25
47,186,368,0,0,0,1,8
48,187,368,1,0,1,1,9
49,193,367,0,0,0,1,6
50,194,367,0,0,0,1,12
51,195,367,0,0,0,1,12
52,196,367,0,0,0,1,18
53,197,367,0,0,0,1,12
54,198,366,1,0,1,1,3
55,199,366,1,0,1,1,3
56,200,366,1,0,1,1,7
57,201,366,1,0,1,1,11
58,202,366,1,0,1,1,7
59,203,366,0,0,0,1,6
60,204,366,0,0,0,1,7
61,208,364,1,0,1,1,7
62,209,364,1,0,1,1,5
63,210,364,1,0,1,1,5
64,211,364,1,0,1,1,5
65,212,364,1,0,1,1,19
66,213,249,1,0,1,1,11
67,214,249,0,0,0,1,10
68,215,249,0,0,0,1,10
69,216,249,1,0,1,1,11
70,217,249,0,0,0,1,16
71,243,244,1,0,1,1,12
72,244,244,1,0,1,1,8
73,245,244,1,0,1,1,9
74,246,244,1,0,1,1,8
75,247,244,1,0,1,1,4
76,288,234,1,0,1,1,17
77,289,234,0,0,0,1,24
78,290,234,1,0,1,1,10
79,291,234,1,0,1,1,16
80,292,234,1,0,1,1,11
81,344,248,1,1,1,1,3
82,345,248,1,0,1,1,11
83,346,248,1,1,1,1,6
84,347,248,1,1,1,1,3
85,348,248,1,1,1,1,6
86,491,280,0,0,0,1,30
87,790,246,1,0,1,1,1
