idx,task_id,template_id,reward,judge,nc,n,steps
0,0,279,0,0,0,1,8
1,1,279,0,0,0,1,16
2,2,279,0,0,0,1,7
3,3,279,1,0,1,1,8
4,4,279,1,0,1,1,9
5,5,279,0,0,0,1,7
6,6,279,0,0,0,1,9
7,11,288,1,1,1,1,5
8,12,288,1,1,1,1,6
9,13,288,1,1,1,1,11
10,14,288,1,1,1,1,6
11,15,288,1,1,1,1,5
12,41,285,0,1,0,1,1
13,42,285,1,1,1,1,1
14,43,285,1,0,1,1,1
15,62,276,1,0,1,1,8
16,63,276,0,0,0,1,26
17,64,276,0,0,0,1,21
18,65,276,0,0,0,1,8
19,77,277,1,1,1,1,3
20,78,277,1,1,1,1,6
21,79,277,1,1,1,1,7
22,94,274,1,0,1,1,4
23,95,274,1,0,1,1,4
24,107,270,0,0,0,1,7
25,108,270,0,0,0,1,9
26,109,270,0,0,0,1,14
27,110,270,0,0,0,1,7
28,111,270,0,0,0,1,7
29,112,245,0,0,0,1,7
30,113,245,1,0,1,1,9
31,114,245,1,0,1,1,6
32,115,245,1,0,1,1,1
33,116,245,1,0,1,1,7
34,119,250,0,0,0,1,11
35,120,250,0,0,0,1,10
36,121,250,0,0,0,1,8
37,122,250,0,0,0,1,10
38,123,250,1,0,1,1,8
39,127,1001,0,0,0,1,3
