idx,task_id,template_id,reward,judge,nc,n,steps
0,0,279,1,0,1,1,16
1,1,279,1,0,1,1,24
2,2,279,0,0,0,1,22
3,3,279,0,0,0,1,10
4,4,279,1,0,1,1,9
5,5,279,0,0,0,1,9
6,6,279,1,0,1,1,12
7,11,288,1,1,1,1,22
8,12,288,1,1,1,1,22
9,13,288,1,1,1,1,30
10,14,288,0,0,0,1,30
11,15,288,1,1,1,1,9
12,41,285,1,0,1,1,7
13,42,285,1,0,1,1,4
14,43,285,1,0,1,1,3
15,62,276,1,0,1,1,12
16,63,276,0,0,0,1,14
17,64,276,0,0,0,1,11
18,65,276,1,0,1,1,9
19,77,277,1,1,1,1,18
20,78,277,1,1,1,1,10
21,79,277,1,1,1,1,24
22,94,274,1,0,1,1,6
23,95,274,1,0,1,1,9
24,107,270,0,0,0,1,15
25,108,270,0,0,0,1,7
26,109,270,0,0,0,1,11
27,110,270,0,0,0,1,8
28,111,270,0,0,0,1,11
29,112,245,0,0,0,1,12
30,113,245,0,0,0,1,12
31,114,245,1,0,1,1,8
32,115,245,1,0,1,1,1
33,116,245,1,0,1,1,8
34,119,250,0,0,0,1,16
35,120,250,1,0,1,1,14
36,121,250,1,0,1,1,22
37,122,250,0,0,0,1,22
38,123,250,1,0,1,1,10
39,127,1001,0,0,0,1,9
