idx,task_id,template_id,reward,judge,nc,n,steps
0,0,279,1,0,1,1,7
1,1,279,1,0,1,1,6
2,2,279,0,0,0,1,7
3,3,279,0,0,0,1,7
4,4,279,1,0,1,1,7
5,5,279,0,0,0,1,7
6,6,279,0,0,0,1,7
7,11,288,1,1,1,1,5
8,12,288,1,1,1,1,5
9,13,288,1,1,1,1,5
10,14,288,1,1,1,1,5
11,15,288,1,1,1,1,5
12,41,285,1,0,1,1,1
13,42,285,1,0,1,1,1
14,43,285,1,0,1,1,1
15,62,276,0,0,0,1,10
16,63,276,0,0,0,1,8
17,64,276,0,0,0,1,10
18,65,276,0,0,0,1,30
19,77,277,1,1,1,1,3
20,78,277,1,1,1,1,5
21,79,277,1,1,1,1,5
22,94,274,1,0,1,1,3
23,95,274,1,0,1,1,3
24,107,270,0,0,0,1,9
25,108,270,0,0,0,1,7
26,109,270,0,0,0,1,9
27,110,270,0,0,0,1,7
28,111,270,0,0,0,1,7
29,112,245,0,0,0,1,6
30,113,245,0,0,0,1,5
31,114,245,1,0,1,1,5
32,115,245,1,0,1,1,1
33,116,245,1,0,1,1,7
34,119,250,0,0,0,1,10
35,120,250,0,0,0,1,9
36,121,250,1,0,1,1,10
37,122,250,0,0,0,1,13
38,123,250,1,0,1,1,10
39,127,1001,0,0,0,1,1
